decision_time,baseline,n_fields,base_auc,with_auc,V_auc,V_ap,V_brier,V_logloss,se,lo,hi,n_draws,resolved
T1 interaction opening,intake,4,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.22641585509474682,0.16766012579149558,0.13724129793805362,0.006830534672506657,0.16495084204256702,0.19090885771173285,400,True
T2 incident creation,intake,4,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.22641585509474682,0.16766012579149558,0.13724129793805362,0.006830534672506657,0.16495084204256702,0.19090885771173285,400,True
T2 incident creation,intake + group,5,0.6442537504512584,0.747589110707169,0.10333536025591061,0.08983934955736306,0.06980247674386886,0.06367689010214062,0.00904456092289747,0.07623381362573585,0.1106290523990819,400,True
T2 incident creation,intake + group + knowledge,6,0.8052042468608479,0.8019845220085675,-0.0032197248522803923,-0.004076349893338049,-0.0064165525201280715,-0.004003478819384232,0.0024092519942827354,-0.007888330417379824,0.0013468987224131011,400,False
