capacity,reviewed,caught_intake,caught_full,extra,extra_per_month,overstatement
0.05,682,350,653,303,163.788550471206,5.410714285714286
0.1,1364,721,1153,432,233.52030958270956,12.705882352941176
0.2,2727,1356,1857,501,270.81869236328123,14.735294117647058
