log,domain,target,largest_group,share,rate_largest,rate_rest,difference,tautology_predicted
BPIC14,itsm,handover,TEAM0008,0.6637128266746771,0.9497947176154915,0.8809417469533593,0.06885297066213225,True
BPIC14,itsm,duration,TEAM0008,0.6637128266746771,0.43726764297029064,0.5589229885790851,-0.12165534560879443,False
UCI498,itsm,handover,?,0.2865398507103299,0.907843137254902,0.13876701541230735,0.7690761218425946,True
UCI498,itsm,duration,?,0.2865398507103299,0.3992997198879552,0.45038812014849816,-0.051088400260542954,False
Helpdesk,itsm,duration,Value 1,0.3462882096069869,0.44829760403530894,0.5050100200400801,-0.05671241600477117,False
BPIC13_incidents,itsm,handover,Siebel,0.06235107227958697,1.0,0.7244105604969646,0.2755894395030354,True
BPIC13_incidents,itsm,duration,Siebel,0.06235107227958697,0.16985138004246284,0.4111252294225611,-0.24127384938009824,False
BPIC13_closed,itsm,handover,Carolyn,0.10827168796234028,1.0,0.30995475113122173,0.6900452488687783,True
BPIC17,lending,duration,User_1,0.6481640166301692,0.5475199529941732,0.4073606350351795,0.14015931795899372,True
BPIC19,procurement,duration,user_057,0.052249596796618655,0.7198357789097545,0.3808853177746761,0.3389504611350784,True
BPIC15_1,permitting,handover,560872,0.5721434528773979,0.8381924198250729,0.9122807017543859,-0.07408828192931305,False
BPIC15_1,permitting,duration,560872,0.5721434528773979,0.4839650145772595,0.4775828460038986,0.00638216857336088,True
BPIC15_3,permitting,handover,560673,0.41944641589779985,0.8629441624365483,0.8471882640586798,0.015755898377868505,True
BPIC15_3,permitting,duration,560673,0.41944641589779985,0.43993231810490696,0.5183374083129584,-0.07840509020805142,False
BPIC15_4,permitting,handover,560781,0.5071225071225072,0.9363295880149812,0.8516377649325626,0.08469182308241863,True
BPIC15_4,permitting,duration,560781,0.5071225071225072,0.398876404494382,0.43545279383429675,-0.03657638933991475,False
BPIC15_5,permitting,duration,1254625,0.2837370242214533,0.573170731707317,0.3804347826086957,0.19273594909862135,True
Sepsis,healthcare,duration,A,0.9085714285714286,0.4916142557651992,0.3958333333333333,0.09578092243186587,True
RoadFines,enforcement,duration,538,0.05724546119571723,0.5464684014869888,0.47452772957492134,0.07194067191206749,True
