layer,n_feat,auc,gain,lo,hi
1 intake,4,0.6536713581776873,,,
2 + time,7,0.6501766925058063,-0.0034946656718809477,-0.008587590639654854,0.0016111514536202587
3 + service,9,0.7269213318327242,0.07674463932691789,0.06672810986686946,0.08690801249489334
4 + CI,13,0.7530790391043556,0.02615770727163136,0.018975381702882148,0.03406971010680149
