rep,base_auc,with_item,gain,sizes_matched,profile_matched
0,0.6445138829235157,0.7407742913297708,0.09626040840625505,True,True
1,0.6451034766302686,0.7416586128373482,0.09655513620707967,True,True
2,0.6482641960768392,0.7412071817784494,0.09294298570161019,True,True
3,0.6413871488413028,0.7399949066837622,0.09860775784245945,True,True
4,0.6387744189388869,0.7390252707481513,0.10025085180926441,True,True
-1,0.804095458524137,0.8047056414001537,0.0006101828760166628,True,True
