k,coverage,recovered,lo,hi,sd
4,0.19362490631794377,0.3785723018713333,0.36601720906605445,0.39909897839895997,0.013679499377349824
8,0.3005112297940974,0.5811569093755964,0.5680008978266725,0.6027285694960697,0.013867333127415445
16,0.42396154655940343,0.7003109378176156,0.682566830749635,0.7146366348872816,0.01287041688498447
32,0.570991307212283,0.7684083014412525,0.7401905687391864,0.8021432378525325,0.02735903581058973
64,0.7041692826781304,0.890406077311719,0.8789092718481112,0.9037945346996954,0.008927691993376577
128,0.8189142312082296,0.9449108120496159,0.9370956304192064,0.9602445147964717,0.009163058666025046
256,0.8926763193172306,0.9603527163930423,0.9546573722416173,0.9674081139140797,0.004685944754453771
