rate,auc,sd,delta,headroom_kept
1.0,0.742804360060321,0.0,0.1763829227178083,1.0
0.9,0.7318645568301865,0.0033176412028623147,0.16544311948767376,0.9379769704370023
0.75,0.7098831038910229,0.005470274313224146,0.14346166654851022,0.8133534944198187
0.6,0.6843494831311983,0.005985248135034058,0.11792804578868554,0.6685910629645047
0.5,0.665219239282554,0.00785121727522785,0.09879780194004129,0.5601324687090372
0.4,0.6456567988530948,0.006482743912902446,0.07923536151058208,0.44922354324148056
0.3,0.6247138841699248,0.0029034531568881113,0.05829244682741208,0.3304880423184339
0.2,0.6043594673507487,0.003958694580557368,0.037938030008236034,0.21508902009143124
0.1,0.5822053572131883,0.003394421894454151,0.015783919870675622,0.08948666700533144
0.05,0.57350607586694,0.0011067313129810687,0.007084638524427311,0.040166238404847676
0.02,0.5693819367679224,0.001113689377316513,0.0029604994254096573,0.016784501468694358
0.01,0.5668933935668629,0.00037869189816430466,0.00047195622435014517,0.0026757478392917832
0.002,0.5665085405228467,0.0002605065137578502,8.710318033400277e-05,0.0004938300091180454
0.0,0.5664214373425127,0.0,0.0,0.0
