label,n,n_test,prevalence,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,too_small
item pre-stamped on the interaction,41051,12316,0.35238713868139004,0.556996955728938,0.7515836536106014,0.6481509621028987,0.7553900035359534,0.19458669788166338,0.10723904143305474,0.4488881172223219,False
item differs from the interaction,948,285,0.6385964912280702,0.6190920729755681,0.6305878587431986,0.6109036594473488,0.6202923290301932,0.01149578576763044,0.009388669582844344,0.18329466357308632,False
no originating interaction,3456,1037,0.583413693346191,0.5694310529537803,0.6759546219773493,0.5952230639730639,0.67773951637588,0.10652356902356908,0.08251645240281613,0.22536906001939538,False
