estimator,baseline,base_auc,with_ident,gain,boot_se,lo,hi,shrink_pct
E1 one-hot logistic (paper),intake fields only,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.005796788946753107,0.17228442361090682,0.19492231019987902,
E1 one-hot logistic (paper),+ intake routing queue,0.6442537504512584,0.747589110707169,0.10333536025591061,0.004989092349515913,0.09399907132148715,0.11347648546336091,43.673515041607914
"E2 logistic, item target-encoded",intake fields only,0.5623977964686157,0.7420394261530372,0.17964162968442154,0.005818907538627605,0.1686146249157723,0.1911868335422504,
"E2 logistic, item target-encoded",+ intake routing queue,0.6442537504512584,0.7471358727731587,0.1028821223219003,0.004891989498621057,0.09375848571398782,0.11271660625470921,42.72924237960073
"E3 boosting, item target-encoded",intake fields only,0.5674139810057607,0.7408439998810454,0.17343001887528475,0.005777298080337686,0.1621322545274064,0.18468336776613797,
"E3 boosting, item target-encoded",+ intake routing queue,0.6544195865998642,0.7462341615312283,0.09181457493136413,0.0049414107095692395,0.08232265214205715,0.10161020611681505,47.05958315244784
