condition,auc,lo,hi
intake fields only,0.5623977964686157,0.5527816033759463,0.5719432827215696
+ intake routing queue,0.6442537504512584,0.6342468051991015,0.6532690066335322
+ item identity,0.747589110707169,0.7394055641866117,0.7556686401277083
+ class hierarchy too,0.7438492129804435,0.7355262607701024,0.7521024376922535
GAIN item identity,0.10333536025591061,0.09399907132148715,0.11347648546336091
GAIN vs intake only,0.1851913142385534,0.17387851261945397,0.1967912640874271
GAIN class hierarchy,-0.0037398977267255606,-0.006635899026800782,-0.0006365021597585521
