log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,scale
BPIC13_closed,handover,ap,equal-level,0.3745997114453753,0.6254002885546247,0.573567097753416,split,0.266201710487045,split,0.0009408256657493024,-0.012778704713386891,216,1.0000000000000004,raw-within-metric
BPIC13_closed,handover,auc,equal-level,0.3620544759360011,0.6379455240639988,0.6097326253131765,split,0.28660760274589797,split,0.000936241898970801,-0.006191268044905995,216,0.9999999999999999,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,0.45426348268553124,0.5457365173144688,0.3581502464054566,rung,0.20291856754100476,split,0.007415729053698469,-0.045820059017567964,216,1.0,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,0.49758146865461006,0.5024185313453899,0.37388282539250733,split,0.19310680399153304,learner,0.021268113670565386,-0.07951455677162049,216,1.0000000000000002,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,0.44003122330662775,0.5599687766933723,0.43710335833896496,split,0.17461720237688627,learner,0.3781618867696649,-0.2855246338951601,216,1.0,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,0.6051156948966713,0.3948843051033287,0.3526806253068913,split,0.3843879508043893,split,0.0010048294838807578,0.01788575051068076,216,1.0,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,0.678053380028462,0.32194661997153795,0.2891641566299962,split,0.39516598000431963,split,0.0014235994652745322,0.024105448725943904,216,1.0000000000000002,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,0.4285981514973795,0.5714018485026204,0.516749705997316,split,0.2794065553436269,split,0.0026966653607235825,-0.0021993242845445094,216,0.9999999999999999,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,0.5905184435494655,0.4094815564505345,0.37199636940205943,split,0.46829988485828694,split,0.011719631285477296,-0.030128972639200228,216,1.0,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,0.2963077090099471,0.7036922909900529,0.6396788116177117,split,0.22761685518678632,split,3.0913802024675463,-0.370828540638712,216,1.0,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,0.8799679648909381,0.12003203510906191,0.08143101668527371,quality_level,0.6933491149894829,rung,0.0014321376157256651,0.03546441661012842,216,0.9999999999999999,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,0.8516610281322345,0.14833897186776546,0.09792563153390865,quality_level,0.5323864090866399,rung,0.0015962770926604562,0.039289440195568376,216,1.0,raw-within-metric
BPIC13_incidents,handover,brier_skill,equal-level,0.6924131738527175,0.3075868261472825,0.25100854532230465,split,0.34654951158167996,quality_level,0.00303978466059164,0.06560214802251332,216,0.9999999999999997,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,0.4784145459123736,0.5215854540876264,0.4777786424336967,split,0.3573974720977646,split,0.023159528463497517,0.014074830108995512,216,0.9999999999999999,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,0.3242740453272428,0.6757259546727572,0.6180612269454411,split,0.2477305821895587,split,0.9052673830426903,-0.13535378692129887,216,1.0,raw-within-metric
BPIC14,duration,ap,equal-level,0.8147368004566022,0.18526319954339776,0.1371920097148177,rung,0.5426261441160654,rung,0.0028658443239684334,0.06962307703634349,960,1.0,raw-within-metric
BPIC14,duration,auc,equal-level,0.8006816185003828,0.19931838149961723,0.1411960545937315,learner,0.601948735110313,rung,0.0019830354900698417,0.06477013926848735,960,1.0,raw-within-metric
BPIC14,duration,brier_skill,equal-level,0.7629418230277125,0.23705817697228748,0.18211599477661378,learner,0.3589168936886871,rung,0.0028400520394278226,0.0565813097706266,960,1.0000000000000002,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,0.7670092131931993,0.23299078680680074,0.17974826787825066,learner,0.3420213503600593,rung,0.001865052526963499,0.044540914491904914,960,1.0,raw-within-metric
BPIC14,duration,nagelkerke,equal-level,0.7640179663595585,0.23598203364044146,0.18479149677241752,learner,0.3485660428857,rung,0.0049138100007386,0.07242861087458032,960,0.9999999999999999,raw-within-metric
BPIC14,handover,ap,equal-level,0.7673787134330855,0.2326212865669145,0.1984088001068227,learner,0.46204787888616405,learner,0.00021966723328240316,0.011552948389639689,960,0.9999999999999998,raw-within-metric
BPIC14,handover,auc,equal-level,0.7742147837142496,0.22578521628575043,0.18935219929203168,learner,0.3696220608854391,learner,0.009960747131741329,0.08794637791111531,960,1.0,raw-within-metric
BPIC14,handover,brier_skill,equal-level,0.7573437014591904,0.2426562985408096,0.18271642239571528,learner,0.2964414270272426,learner,0.010811033065487693,0.09745918308096048,960,1.0,raw-within-metric
BPIC14,handover,logloss_skill,equal-level,0.7651411093088829,0.2348588906911171,0.1819403391962256,learner,0.31152902341006744,learner,0.013833730668357965,0.1096760556042218,960,0.9999999999999999,raw-within-metric
BPIC14,handover,nagelkerke,equal-level,0.7680784786589328,0.23192152134106725,0.18133481042439065,learner,0.316818134259499,rung,0.018169320439264135,0.12586354089301444,960,0.9999999999999999,raw-within-metric
BPIC15_1,duration,ap,equal-level,0.2732048936350249,0.7267951063649751,0.6253827215434602,split,0.11107080463872883,split,0.001969489150383295,0.032362322855231385,216,1.0,raw-within-metric
