threshold,acted_naive_base,acted_honest_base,naive_base_degenerate,honest_base_degenerate,reduction
0.05,1.0,1.0,True,True,
0.075,1.0,1.0,True,True,0.2727272727273756
0.1,1.0,0.989733812422087,True,True,0.4350282485875484
0.125,1.0,0.989733812422087,True,True,0.06319702602231081
0.15,1.0,0.989733812422087,True,True,0.10053859964093803
0.175,1.0,0.989733812422087,True,True,0.04743798660148857
0.2,1.0,0.9781476864412995,True,True,0.10921177587844322
0.225,1.0,0.9769010779496957,True,True,0.1237990234682621
0.25,1.0,0.9765344283933416,True,True,0.14373464373464406
0.275,1.0,0.9752144899904671,True,True,0.11406161406161397
0.3,1.0,0.9686881278873652,True,True,0.07076461769115483
0.325,0.9999266700887292,0.9551954242135366,True,True,0.06349485018726553
0.35,0.9968468138153553,0.4070543374642517,True,False,0.4352089304570823
0.375,0.8487203930483244,0.31832514482657476,False,False,0.6483735339676919
0.4,0.3475837794236269,0.3037324924836841,False,False,0.5813836477987424
0.425,0.3365842927330058,0.14123340910757498,False,False,0.8888804726556583
0.45,0.14827308058957248,0.13676028452005573,False,False,1.0120763141871323
0.475,0.14599985334017745,0.1366869546087849,False,False,1.168221110100091
0.5,0.003446505829727946,0.13661362469751412,True,False,1.1918047079337402
0.525,0.003446505829727946,0.1345603871819315,True,False,1.2766840427147121
0.55,0.003446505829727946,0.09298232749138373,True,False,0.9568079640333977
0.575,0.0009532888465204957,0.0846227176065117,True,False,1.3409570724841662
0.6,0.0009532888465204957,0.08396274840507444,True,False,0.9558011049723755
0.625,0.0,0.0836694287599912,True,False,0.8891786179921775
0.65,0.0,0.0836694287599912,True,False,0.882566248256625
0.675,0.0,0.08249615017965828,True,False,0.7363744861424215
0.7,0.0,0.08227616044584586,True,False,0.7927076299797433
0.725,0.0,0.08132287159932536,True,False,0.7516845025762985
0.75,0.0,0.07978294346263841,True,False,0.4987775061124693
0.775,0.0,0.07978294346263841,True,False,0.4657402970771439
0.8,0.0,0.07956295372882599,True,False,0.32066508313539155
