regime,slope_per_10pts,honest_at_75,honest_at_100
random,0.006240314930973831,0.0882474466898184,0.1033353602559106
rare-first,0.0030019109328846046,0.0959831163748182,0.1033353602559106
common-first,-0.0005971807498401429,0.1045161358781132,0.1033353602559106
