model,capacity,reviewed,strictly_above,tie_block,drawn_from_tie,share_from_tie,rate_in_tie,rate_overall,caught_above,expected_total
naive: intake,0.05,682,47,1944,635,0.9310850439882697,0.5339506172839507,0.37200263987680576,9,348.05864197530866
naive: intake,0.1,1364,47,1944,1317,0.9655425219941349,0.5339506172839507,0.37200263987680576,9,712.212962962963
naive: intake,0.2,2727,2039,2437,688,0.2522918958562523,0.39351661879359867,0.37200263987680576,1065,1335.7394337299959
honest: intake + group,0.05,682,590,246,92,0.1348973607038123,0.5528455284552846,0.37200263987680576,542,592.8617886178862
honest: intake + group,0.1,1364,1269,566,95,0.06964809384164222,0.8250883392226148,0.37200263987680576,1040,1118.3833922261483
honest: intake + group,0.2,2727,1962,2180,765,0.28052805280528054,0.3665137614678899,0.37200263987680576,1550,1830.3830275229357
