check,auc
base,0.565556138314809
base+service,0.7244689961866101
base+CI,0.7419425947855373
base+service+CI,0.7417509297161707
base+random_partition,0.7304341045885836
shapley_service,0.07936059640121729
shapley_ci,0.09683419500014445
