log,target,admitted,threshold_measure,rule,n_cells,adopts,loss_per_1000,excess_per_1000,rel_excess,share_positive,mean_dnb_per_1000
BPIC13_incidents,handover,True,uniform over the declared range,uniform-beneficial,186,False,48.418230674020435,48.41651333185767,28192.70054722785,0.9462365591397845,48.41651333185767
BPIC13_incidents,handover,True,uniform over the declared range,majority,186,True,0.0017173421627612899,0.0,0.0,0.9462365591397845,48.41651333185767
BPIC13_incidents,handover,True,uniform over the declared range,weighted-mean,186,True,0.0017173421627612899,0.0,0.0,0.9462365591397845,48.41651333185767
BPIC13_incidents,handover,True,desk distribution,one-number,186,True,0.0034629960285185992,0.0,0.0,0.8919132129454468,2.270681307865208
BPIC13_incidents,handover,True,desk distribution,uniform-beneficial,186,False,2.274144303893727,2.270681307865208,655.6985018653228,0.8919132129454468,2.270681307865208
BPIC13_incidents,handover,True,desk distribution,majority,186,True,0.0034629960285185992,0.0,0.0,0.8919132129454468,2.270681307865208
BPIC13_incidents,handover,True,desk distribution,weighted-mean,186,True,0.0034629960285185992,0.0,0.0,0.8919132129454468,2.270681307865208
BPIC13_incidents,handover,True,fixed 1:2,one-number,186,True,0.0,0.0,,1.0,4.642563457443616
BPIC13_incidents,handover,True,fixed 1:2,uniform-beneficial,186,False,4.642563457443616,4.642563457443616,,1.0,4.642563457443616
BPIC13_incidents,handover,True,fixed 1:2,majority,186,True,0.0,0.0,,1.0,4.642563457443616
BPIC13_incidents,handover,True,fixed 1:2,weighted-mean,186,True,0.0,0.0,,1.0,4.642563457443616
BPIC13_incidents,handover,True,fixed 1:4,one-number,186,True,0.0,0.0,,1.0,1.286575503602435
BPIC13_incidents,handover,True,fixed 1:4,uniform-beneficial,186,False,1.286575503602435,1.286575503602435,,1.0,1.286575503602435
BPIC13_incidents,handover,True,fixed 1:4,majority,186,True,0.0,0.0,,1.0,1.286575503602435
BPIC13_incidents,handover,True,fixed 1:4,weighted-mean,186,True,0.0,0.0,,1.0,1.286575503602435
BPIC13_incidents,handover,True,fixed 1:9,one-number,186,True,0.0,0.0,,0.8333333333333333,0.3022431341795414
BPIC13_incidents,handover,True,fixed 1:9,uniform-beneficial,186,False,0.3022431341795414,0.3022431341795414,,0.8333333333333333,0.3022431341795414
BPIC13_incidents,handover,True,fixed 1:9,majority,186,True,0.0,0.0,,0.8333333333333333,0.3022431341795414
BPIC13_incidents,handover,True,fixed 1:9,weighted-mean,186,True,0.0,0.0,,0.8333333333333333,0.3022431341795414
BPIC13_incidents,handover,True,fixed 1:19,one-number,186,True,0.0,0.0,,0.5,0.07738800021669845
BPIC13_incidents,handover,True,fixed 1:19,uniform-beneficial,186,False,0.07738800021669845,0.07738800021669845,,0.5,0.07738800021669845
BPIC13_incidents,handover,True,fixed 1:19,majority,186,False,0.07738800021669845,0.07738800021669845,,0.5,0.07738800021669845
BPIC13_incidents,handover,True,fixed 1:19,weighted-mean,186,True,0.0,0.0,,0.5,0.07738800021669845
BPIC14,duration,True,uniform over the declared range,one-number,248,True,0.7727966295910459,0.0,0.0,0.7741935483870974,26.4627506751388
BPIC14,duration,True,uniform over the declared range,uniform-beneficial,248,False,27.235547304729845,26.4627506751388,34.24283914015327,0.7741935483870974,26.4627506751388
BPIC14,duration,True,uniform over the declared range,majority,248,True,0.7727966295910459,0.0,0.0,0.7741935483870974,26.4627506751388
BPIC14,duration,True,uniform over the declared range,weighted-mean,248,True,0.7727966295910459,0.0,0.0,0.7741935483870974,26.4627506751388
BPIC14,duration,True,desk distribution,one-number,248,True,0.13980642042434033,0.0,0.0,0.8195274575043325,14.814915405468293
BPIC14,duration,True,desk distribution,uniform-beneficial,248,False,14.954721825892634,14.814915405468293,105.96734656750436,0.8195274575043325,14.814915405468293
BPIC14,duration,True,desk distribution,majority,248,True,0.13980642042434033,0.0,0.0,0.8195274575043325,14.814915405468293
BPIC14,duration,True,desk distribution,weighted-mean,248,True,0.13980642042434033,0.0,0.0,0.8195274575043325,14.814915405468293
BPIC14,duration,True,fixed 1:2,one-number,248,True,0.14933221019616252,0.0,0.0,0.75,43.134824138972306
BPIC14,duration,True,fixed 1:2,uniform-beneficial,248,False,43.28415634916848,43.13482413897231,288.8514412417153,0.75,43.134824138972306
BPIC14,duration,True,fixed 1:2,majority,248,True,0.14933221019616252,0.0,0.0,0.75,43.134824138972306
BPIC14,duration,True,fixed 1:2,weighted-mean,248,True,0.14933221019616252,0.0,0.0,0.75,43.134824138972306
BPIC14,duration,True,fixed 1:4,one-number,248,True,0.23244171077098752,0.0,0.0,0.875,9.358013874982099
BPIC14,duration,True,fixed 1:4,uniform-beneficial,248,False,9.590455585753087,9.3580138749821,40.259615384615955,0.875,9.358013874982099
BPIC14,duration,True,fixed 1:4,majority,248,True,0.23244171077098752,0.0,0.0,0.875,9.358013874982099
BPIC14,duration,True,fixed 1:4,weighted-mean,248,True,0.23244171077098752,0.0,0.0,0.875,9.358013874982099
BPIC14,duration,True,fixed 1:9,one-number,248,True,0.173834612756075,0.0,0.0,0.625,0.1897280630652
BPIC14,duration,True,fixed 1:9,uniform-beneficial,248,False,0.36356267582127505,0.18972806306520001,1.0914285714285608,0.625,0.1897280630652
BPIC14,duration,True,fixed 1:9,majority,248,True,0.173834612756075,0.0,0.0,0.625,0.1897280630652
BPIC14,duration,True,fixed 1:9,weighted-mean,248,True,0.173834612756075,0.0,0.0,0.625,0.1897280630652
BPIC14,duration,True,fixed 1:19,one-number,248,True,0.15903906526434394,0.15903906526434394,,0.0,-0.15903906526434394
BPIC14,duration,True,fixed 1:19,uniform-beneficial,248,False,0.0,0.0,,0.0,-0.15903906526434394
BPIC14,duration,True,fixed 1:19,majority,248,False,0.0,0.0,,0.0,-0.15903906526434394
