axis,level,n_pairs,misreport_all_median,misreport_all_min,misreport_all_max
declared,--,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
learner,hgb,19,0.3527777777777777,0.05648148148148147,0.7157407407407407
learner,hgb_iso,19,0.3277777777777778,0.05648148148148147,0.6401234567901235
learner,logit_fr,19,0.3527777777777777,0.05648148148148147,0.7562500000000001
metric,ap,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
metric,brier_skill,19,0.38240740740740736,0.05648148148148147,0.6722222222222222
metric,logloss_skill,19,0.38240740740740736,0.05648148148148147,0.6722222222222222
metric,nagelkerke,19,0.38240740740740736,0.05648148148148147,0.6722222222222222
rung,B_half,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
rung,B_intake,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
rung,B_intake_g_km,19,0.3527777777777777,0.05648148148148147,0.8935416666666667
split,rolling1,19,0.3527777777777777,0.05648148148148147,0.7425925925925925
split,rolling2,19,0.3277777777777778,0.05648148148148147,0.4925925925925926
split,rolling3,19,0.3527777777777777,0.05648148148148147,0.7425925925925925
split,rolling4,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
split,rolling5,19,0.38425925925925924,0.05648148148148147,0.7157407407407407
quality_level,clean/1.0,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,corrupt/0.05,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,corrupt/0.15,19,0.3277777777777778,0.05648148148148147,0.647222222222222
quality_level,duplicate/0.15,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,mask_common/0.5,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,mask_random/0.5,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,mask_rare/0.25,19,0.38240740740740736,0.05648148148148147,0.8888888888888888
quality_level,mask_rare/0.5,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,mask_rare/0.75,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
quality_level,stale/1.0,19,0.3277777777777778,0.05648148148148147,0.6231481481481482
