log,target,threshold,unit,excess_one_number,excess_majority,excess_uniform,share_positive
BPIC13_incidents,duration,0.6,net benefit (true positives per case),0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,0.625,net benefit (true positives per case),0.0,0.0,0.0,0.3333333333333333
BPIC13_incidents,duration,0.65,net benefit (true positives per case),0.019913037998613686,0.019913037998613686,0.0,0.6666666666666666
BPIC13_incidents,duration,0.675,net benefit (true positives per case),0.0,0.0,0.004122696888466618,0.6666666666666666
BPIC13_incidents,duration,0.7,net benefit (true positives per case),0.0,0.0,0.013747978238494333,0.6666666666666666
BPIC13_incidents,duration,0.725,net benefit (true positives per case),0.0,0.003595727900977133,0.003595727900977133,0.5
BPIC13_incidents,duration,0.75,net benefit (true positives per case),0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,0.775,net benefit (true positives per case),0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,0.8,net benefit (true positives per case),0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,handover,0.05,net benefit (true positives per case),0.0,7.738800021669844e-05,7.738800021669844e-05,0.5
BPIC13_incidents,handover,0.075,net benefit (true positives per case),0.0,0.0,0.000208633865449012,0.6666666666666666
BPIC13_incidents,handover,0.1,net benefit (true positives per case),0.0,0.0,0.0003022431341795414,0.8333333333333333
BPIC13_incidents,handover,0.125,net benefit (true positives per case),0.0,0.0,0.00038859831537376593,0.8333333333333333
BPIC13_incidents,handover,0.15,net benefit (true positives per case),0.0,0.0,0.0005578764368561333,0.8333333333333333
BPIC13_incidents,handover,0.175,net benefit (true positives per case),0.0,0.0,0.0008978180570593333,0.8333333333333333
BPIC13_incidents,handover,0.2,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.225,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.25,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.275,net benefit (true positives per case),0.0,0.0,0.0029432791323791,0.8333333333333333
BPIC13_incidents,handover,0.3,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.325,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.35,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.375,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.4,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.425,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.45,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.475,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.5,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.525,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.55,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.575,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.6,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.625,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.65,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.675,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.7,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.725,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.75,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.775,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,0.8,net benefit (true positives per case),0.0,0.0,0.0,0.9999999999999999
BPIC14,duration,0.05,net benefit (true positives per case),0.0,0.0,0.0,0.0
BPIC14,duration,0.075,net benefit (true positives per case),0.0,0.0,0.0,0.25
BPIC14,duration,0.1,net benefit (true positives per case),0.0,0.0,0.00018972806306520002,0.625
BPIC14,duration,0.125,net benefit (true positives per case),0.0,0.0,0.0017049982630729002,0.875
BPIC14,duration,0.15,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,duration,0.175,net benefit (true positives per case),0.0,0.0,0.004384154085555838,0.875
BPIC14,duration,0.2,net benefit (true positives per case),0.0,0.0,0.0093580138749821,0.875
BPIC14,duration,0.225,net benefit (true positives per case),0.0,0.0,0.017016982664347237,0.875
BPIC14,duration,0.25,net benefit (true positives per case),0.0,0.0,0.023071329804987325,0.875
BPIC14,duration,0.275,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,duration,0.3,net benefit (true positives per case),0.0,0.0,0.0,1.0
BPIC14,duration,0.325,net benefit (true positives per case),0.0,0.0,0.043134824138972315,0.75
BPIC14,duration,0.35,net benefit (true positives per case),0.0,0.0,0.04674003939130527,0.75
BPIC14,duration,0.375,net benefit (true positives per case),0.0,0.0,0.05460592189958515,0.75
BPIC14,duration,0.4,net benefit (true positives per case),0.0,0.0,0.06270562151337432,0.75
