field,real,mass_matched,sd,delta
CI Type,0.6134633798169538,0.5890994597187176,0.016933250966774577,0.02436392009823618
CI Subtype,0.5958791080151205,0.6060438137224269,0.02333090871208367,-0.010164705707306432
Service Component,0.7244689961866101,0.7024346266650212,0.009568169702421908,0.02203436952158888
CI Name,0.7385671824414273,0.7229851306678989,0.00416277167428922,0.015582051773528338
