seed,rung,V,published
1000,B_intake_g_km,-0.0031891115542137527,-0.0032197248522803923
1001,B_intake_g_km,-0.0032601666302528587,-0.0032197248522803923
1002,B_intake_g_km,-0.0033467700392577626,-0.0032197248522803923
1003,B_intake_g_km,-0.0032229933397432964,-0.0032197248522803923
1004,B_intake_g_km,-0.002707516038836455,-0.0032197248522803923
1005,B_intake_g_km,-0.003049049961178718,-0.0032197248522803923
1006,B_intake_g_km,-0.0034744366992033315,-0.0032197248522803923
1007,B_intake_g_km,-0.0032656793256568006,-0.0032197248522803923
1008,B_intake_g_km,-0.0033894675339299907,-0.0032197248522803923
1009,B_intake_g_km,-0.0031997686647436963,-0.0032197248522803923
1010,B_intake_g_km,-0.0033654372458232773,-0.0032197248522803923
1011,B_intake_g_km,-0.003290204490386417,-0.0032197248522803923
1012,B_intake_g_km,-0.00321063293292978,-0.0032197248522803923
1013,B_intake_g_km,-0.003114488762986034,-0.0032197248522803923
1014,B_intake_g_km,-0.003244342087079133,-0.0032197248522803923
1015,B_intake_g_km,-0.0031616516560228902,-0.0032197248522803923
1016,B_intake_g_km,-0.003216951241440613,-0.0032197248522803923
1017,B_intake_g_km,-0.0030893881603232254,-0.0032197248522803923
1018,B_intake_g_km,-0.003264885221308411,-0.0032197248522803923
1019,B_intake_g_km,-0.003585381132798826,-0.0032197248522803923
1020,B_intake_g_km,-0.003320461016934173,-0.0032197248522803923
1021,B_intake_g_km,-0.003252950638565788,-0.0032197248522803923
1022,B_intake_g_km,-0.0030243866913450823,-0.0032197248522803923
1023,B_intake_g_km,-0.003406523514281279,-0.0032197248522803923
1024,B_intake_g_km,-0.0033640101597480765,-0.0032197248522803923
