axis,lo,hi,cells,spread
baseline,0.43673515041607924,0.43673515041607924,1,0.0
metric,0.43673515041607924,0.6032108726671614,4,0.1664757222510822
threshold,0.04743798660148857,1.3409570724841662,31,1.2935190858826777
population,0.43673515041607924,0.43673515041607924,1,0.0
