mechanism,n_levels,n_seeds,integral,integral_coarse,grid_shift,seed_sd_median,V_at_clean,V_at_empty
content,11,3,0.04855504120611299,0.04734474485066685,0.0012102963554461374,0.002308802434115984,0.08466301694773663,-0.0007621790517942095
mask_rare,11,1,0.06915069469629448,0.06612834620611008,0.003022348490184401,0.0,0.10344533795377764,-0.002717333009983225
propensity,11,3,0.055920714082261354,0.05387831797896134,0.0020423961033000163,0.0016011179032514573,0.08591138350961836,-0.0007621790517942095
time,11,1,0.0768461907573988,0.08821148469615914,0.011365293938760332,0.0,0.1149021000538335,-0.0007621790517942095
