model,auc,ap,brier,brier_skill,nagelkerke,n_distinct_scores,nb_0.2,nb_0.3,nb_0.325,nb_0.4,nb_0.5,cost_saved_r1,cost_saved_r2,cost_saved_r3,cost_saved_r5,cost_saved_r10
intake,0.5623977964686157,0.423172445329683,0.23158183476190333,0.015674870483158077,0.02062937050263534,23,0.2150032998460072,0.10286091410972246,0.06956021064695997,0.026032118501136597,-0.0021265674268534135,-0.0021265674268534135,0.11586125980787564,0.488010559507223,1.2320158392608345,3.0920290386448634
intake + item,0.7458556499672737,0.6495883004244298,0.192136494616758,0.18333499627465366,0.24380075536586973,872,0.23430739898804723,0.1727338438491918,0.1623795827799641,0.12319425093495635,0.08198284080076262,0.08198284080076262,0.3138520202390555,0.6073916550560974,1.2690474444525923,3.096575493143653
intake + group,0.6442537504512584,0.5713024733214064,0.2056766014019693,0.12578355931187202,0.16496685462965707,132,0.21872479284300067,0.10769021255198566,0.07654013183088493,0.08459827430275475,0.08557600645303219,0.08557600645303219,0.131333871086016,0.5038498203417174,1.240522108968248,3.099068710126861
intake + group + item,0.747589110707169,0.6611418228787694,0.1892541966999733,0.19558603605574088,0.26188009370643106,1210,0.23592065703600498,0.17261861113148053,0.1634659518358279,0.12527193175429588,0.06944342597345457,0.06944342597345457,0.314805309085576,0.6060717166532229,1.2746938476204444,3.1045684534721714
