log,target,measure,n_cells,v_reference,misreport_all,n_cells_latitude,misreport_latitude,misreport_magnitude,n_resolved_nominal,n_disagree_nominal,misreport_resolved_nominal,n_resolved_latitude_nominal,n_disagree_latitude_nominal,misreport_resolved_latitude_nominal,n_resolved_calibrated,n_disagree_calibrated,misreport_resolved_calibrated,n_resolved_latitude_calibrated,n_disagree_latitude_calibrated,misreport_resolved_latitude_calibrated
BPIC17,duration,reference,1080,0.0020866192318349,0.2559895833333333,30,0.23437499999999997,0.12291051355474354,0,0,,0,0,,0,0,,0,0,
BPIC17,duration,concentrated,1080,0.0020866192318349,0.17691333333333334,30,0.12299999999999998,0.08558583781706706,0,0,,0,0,,0,0,,0,0,
BPIC19,duration,equal-level,1620,0.0244227786104798,0.3598765432098765,45,0.7111111111111111,0.5633357749939665,81,71,0.8765432098765433,18,13,0.7222222222222222,81,71,0.8765432098765433,18,13,0.7222222222222222
BPIC19,duration,reference,1620,0.0244227786104798,0.37278645833333335,45,0.5156249999999999,0.6604807312985617,81,71,0.6012269938650306,18,13,0.45833333333333326,81,71,0.6012269938650306,18,13,0.45833333333333326
BPIC19,duration,concentrated,1620,0.0244227786104798,0.2929733333333333,45,0.23099999999999996,0.6642186037677422,81,71,0.3906957595718402,18,13,0.28502415458937197,81,71,0.3906957595718402,18,13,0.28502415458937197
Helpdesk,duration,equal-level,1080,-0.0195227603319928,0.2574074074074074,30,0.06666666666666667,0.10234997618868934,2,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0
Helpdesk,duration,reference,1080,-0.0195227603319928,0.20755208333333336,30,0.03125,0.08754488548576547,2,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0
Helpdesk,duration,concentrated,1080,-0.0195227603319928,0.10783333333333334,30,0.007999999999999997,0.07116941116515862,2,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0
RoadFines,duration,equal-level,1620,0.0306235441798622,0.17283950617283944,45,0.06666666666666668,0.09897466507502228,58,6,0.10344827586206896,9,0,0.0,58,6,0.10344827586206896,9,0,0.0
RoadFines,duration,reference,1620,0.0306235441798622,0.130078125,45,0.023437499999999997,0.06880514739270156,58,6,0.08042895442359248,9,0,0.0,58,6,0.08042895442359248,9,0,0.0
RoadFines,duration,concentrated,1620,0.0306235441798622,0.05064999999999998,45,0.001499999999999999,0.022317312216886712,58,6,0.015113826002078147,9,0,0.0,58,6,0.015113826002078147,9,0,0.0
Sepsis,duration,equal-level,1080,0.1527346938775511,0.05648148148148147,30,0.06666666666666667,0.03104344992073213,102,0,0.0,20,0,0.0,102,0,0.0,20,0,0.0
Sepsis,duration,reference,1080,0.1527346938775511,0.04114583333333334,30,0.0625,0.02001896113218586,102,0,0.0,20,0,0.0,102,0,0.0,20,0,0.0
Sepsis,duration,concentrated,1080,0.1527346938775511,0.00993333333333333,30,0.01599999999999999,0.004406826410438525,102,0,0.0,20,0,0.0,102,0,0.0,20,0,0.0
UCI498,duration,equal-level,1080,-0.0068683019845929,0.4925925925925926,30,0.5333333333333333,0.622752716260335,14,14,1.0,4,4,1.0,14,14,1.0,4,4,1.0
UCI498,duration,reference,1080,-0.0068683019845929,0.5197916666666668,30,0.43750000000000006,0.7235393073687177,14,14,1.0,4,4,1.0,14,14,1.0,4,4,1.0
UCI498,duration,concentrated,1080,-0.0068683019845929,0.3418466666666667,30,0.18699999999999997,0.5456158403087991,14,14,1.0,4,4,1.0,14,14,1.0,4,4,1.0
UCI498,handover,equal-level,1080,-0.0033327841374403,0.48148148148148145,30,0.36666666666666664,0.6828392286155993,0,0,,0,0,,0,0,,0,0,
UCI498,handover,reference,1080,-0.0033327841374403,0.4809895833333334,30,0.43750000000000006,0.7324700703792533,0,0,,0,0,,0,0,,0,0,
UCI498,handover,concentrated,1080,-0.0033327841374403,0.28713333333333335,30,0.24099999999999996,0.5789785434791614,0,0,,0,0,,0,0,,0,0,
