family,cal_K,cal_B,r,w,m,p,eps,lam,share_degenerate,target_rho_mean,fit_rho_mean,target_absrho_mean,fit_absrho_mean,target_eff_rank_frac,fit_eff_rank_frac,target_kurt_med,fit_kurt_med,target_kurt_p90,fit_kurt_p90,target_ratio,target_ratio_q1,target_ratio_q3,fit_ratio,ratio_matched,n_cal_reps,n_cal_combos
whole-surface,180,400,4,0.35,0.8,0.5,0.05,3.0,0.0,0.13841468674841234,0.14799197623255272,0.16104392668739403,0.17880013841713605,0.07185632536009805,0.11949113979706676,0.5153523172513712,0.5790662511378856,7.89883222925922,5.882776694356535,1.504437553328333,1.2361658976432495,1.6723862605583375,1.2526760998672906,True,60,294
decision-curve,1100,400,16,0.5,0.2,0.5,0.05,4.0,0.14272300469483568,0.034267944405428116,0.021270388237749526,0.07062224914338734,0.10309607381596668,0.1365763670624675,0.13480795912463728,0.9214454606677167,0.9564347488999146,11.08167640314245,12.392692016473855,2.238407263053817,2.0731506058272444,2.548751578431232,1.4874888796024401,False,60,294
