baseline,base_auc,with_item,gain,lo,hi,resolved
intake,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.17228442361090682,0.19492231019987902,True
intake + group,0.6442537504512584,0.747589110707169,0.10333536025591061,0.09399907132148715,0.11347648546336091,True
intake + group + km_open,0.8052042468608479,0.8019845220085675,-0.0032197248522803923,-0.005586048794278703,-0.0009802728562707127,False
intake + group + km_int,0.8069044127619059,0.8059413828537726,-0.0009630299081333504,-0.00333432887218956,0.0012833932260037316,False
intake + group + km_prov,0.804095458524137,0.8047056414001537,0.0006101828760166628,-0.0019036559361186034,0.00296906692682966,False
