task,layer,auc,gain,lo,hi
misrouting (reassigned >=1),1 intake,0.5670595477846543,,,
misrouting (reassigned >=1),2 + time,0.555617452757115,-0.011442095027539234,-0.017866501017091824,-0.00485227132108665
misrouting (reassigned >=1),3 + service,0.7213968848709862,0.16577943211387114,0.15433813588565917,0.17651654352700158
misrouting (reassigned >=1),4 + CI,0.740530067314164,0.019133182443177854,0.012122582450612743,0.02667699950525631
service-target breach,1 intake,0.6536713581776873,,,
service-target breach,2 + time,0.6503861539304576,-0.003285204247229667,-0.008241361744148848,0.0017276354852520572
service-target breach,3 + service,0.7260277106859386,0.07564155675548101,0.06538674649995617,0.08560938292399685
service-target breach,4 + CI,0.7536475676222512,0.027619856936312526,0.020365694552548608,0.03547050077031283
