log,target,rung,learner,arm,best_calibration
BPIC15_3,duration,B_intake,logit,with_f,platt
BPIC15_3,duration,B_intake,logit,without_f,raw
BPIC15_3,duration,B_intake_g,hgb,with_f,isotonic
BPIC15_3,duration,B_intake_g,hgb,without_f,isotonic
BPIC15_3,duration,B_intake_g,logit,with_f,platt
BPIC15_3,duration,B_intake_g,logit,without_f,raw
BPIC15_3,handover,B_half,hgb,with_f,platt
BPIC15_3,handover,B_half,hgb,without_f,platt
BPIC15_3,handover,B_half,logit,with_f,platt
BPIC15_3,handover,B_half,logit,without_f,raw
BPIC15_3,handover,B_intake,hgb,with_f,isotonic
BPIC15_3,handover,B_intake,hgb,without_f,isotonic
BPIC15_3,handover,B_intake,logit,with_f,isotonic
BPIC15_3,handover,B_intake,logit,without_f,isotonic
BPIC15_3,handover,B_intake_g,hgb,with_f,isotonic
BPIC15_3,handover,B_intake_g,hgb,without_f,isotonic
BPIC15_3,handover,B_intake_g,logit,with_f,isotonic
BPIC15_3,handover,B_intake_g,logit,without_f,isotonic
BPIC15_4,duration,B_half,hgb,with_f,platt
BPIC15_4,duration,B_half,hgb,without_f,platt
BPIC15_4,duration,B_half,logit,with_f,platt
BPIC15_4,duration,B_half,logit,without_f,platt
BPIC15_4,duration,B_intake,hgb,with_f,isotonic
BPIC15_4,duration,B_intake,hgb,without_f,platt
BPIC15_4,duration,B_intake,logit,with_f,platt
BPIC15_4,duration,B_intake,logit,without_f,platt
BPIC15_4,duration,B_intake_g,hgb,with_f,platt
BPIC15_4,duration,B_intake_g,hgb,without_f,platt
BPIC15_4,duration,B_intake_g,logit,with_f,platt
BPIC15_4,duration,B_intake_g,logit,without_f,platt
BPIC15_4,handover,B_half,hgb,with_f,platt
BPIC15_4,handover,B_half,hgb,without_f,platt
BPIC15_4,handover,B_half,logit,with_f,platt
BPIC15_4,handover,B_half,logit,without_f,platt
BPIC15_4,handover,B_intake,hgb,with_f,platt
BPIC15_4,handover,B_intake,hgb,without_f,platt
BPIC15_4,handover,B_intake,logit,with_f,platt
BPIC15_4,handover,B_intake,logit,without_f,platt
BPIC15_4,handover,B_intake_g,hgb,with_f,platt
BPIC15_4,handover,B_intake_g,hgb,without_f,platt
BPIC15_4,handover,B_intake_g,logit,with_f,platt
BPIC15_4,handover,B_intake_g,logit,without_f,platt
BPIC15_5,duration,B_half,hgb,with_f,isotonic
BPIC15_5,duration,B_half,hgb,without_f,raw
BPIC15_5,duration,B_half,logit,with_f,platt
BPIC15_5,duration,B_half,logit,without_f,isotonic
BPIC15_5,duration,B_intake,hgb,with_f,platt
BPIC15_5,duration,B_intake,hgb,without_f,raw
BPIC15_5,duration,B_intake,logit,with_f,isotonic
BPIC15_5,duration,B_intake,logit,without_f,raw
BPIC15_5,duration,B_intake_g,hgb,with_f,platt
BPIC15_5,duration,B_intake_g,hgb,without_f,isotonic
BPIC15_5,duration,B_intake_g,logit,with_f,platt
BPIC15_5,duration,B_intake_g,logit,without_f,platt
BPIC17,duration,B_half,hgb,with_f,isotonic
BPIC17,duration,B_half,hgb,without_f,isotonic
BPIC17,duration,B_half,logit,with_f,isotonic
BPIC17,duration,B_half,logit,without_f,isotonic
BPIC17,duration,B_intake,hgb,with_f,isotonic
BPIC17,duration,B_intake,hgb,without_f,platt
BPIC17,duration,B_intake,logit,with_f,platt
BPIC17,duration,B_intake,logit,without_f,platt
BPIC17,duration,B_intake_g,hgb,with_f,isotonic
BPIC17,duration,B_intake_g,hgb,without_f,isotonic
BPIC17,duration,B_intake_g,logit,with_f,isotonic
BPIC17,duration,B_intake_g,logit,without_f,isotonic
BPIC19,duration,B_half,hgb,with_f,platt
BPIC19,duration,B_half,hgb,without_f,platt
BPIC19,duration,B_half,logit,with_f,platt
BPIC19,duration,B_half,logit,without_f,isotonic
BPIC19,duration,B_intake,hgb,with_f,platt
BPIC19,duration,B_intake,hgb,without_f,platt
BPIC19,duration,B_intake,logit,with_f,platt
BPIC19,duration,B_intake,logit,without_f,platt
BPIC19,duration,B_intake_g,hgb,with_f,platt
BPIC19,duration,B_intake_g,hgb,without_f,isotonic
BPIC19,duration,B_intake_g,logit,with_f,platt
BPIC19,duration,B_intake_g,logit,without_f,platt
Helpdesk,duration,B_half,hgb,with_f,platt
Helpdesk,duration,B_half,hgb,without_f,raw
Helpdesk,duration,B_half,logit,with_f,platt
Helpdesk,duration,B_half,logit,without_f,raw
Helpdesk,duration,B_intake,hgb,with_f,platt
Helpdesk,duration,B_intake,hgb,without_f,platt
Helpdesk,duration,B_intake,logit,with_f,platt
Helpdesk,duration,B_intake,logit,without_f,platt
Helpdesk,duration,B_intake_g,hgb,with_f,isotonic
Helpdesk,duration,B_intake_g,hgb,without_f,platt
Helpdesk,duration,B_intake_g,logit,with_f,platt
Helpdesk,duration,B_intake_g,logit,without_f,platt
RoadFines,duration,B_half,hgb,with_f,isotonic
RoadFines,duration,B_half,hgb,without_f,raw
RoadFines,duration,B_half,logit,with_f,isotonic
RoadFines,duration,B_half,logit,without_f,raw
RoadFines,duration,B_intake,hgb,with_f,raw
RoadFines,duration,B_intake,hgb,without_f,raw
RoadFines,duration,B_intake,logit,with_f,raw
RoadFines,duration,B_intake,logit,without_f,raw
RoadFines,duration,B_intake_g,hgb,with_f,raw
RoadFines,duration,B_intake_g,hgb,without_f,raw
RoadFines,duration,B_intake_g,logit,with_f,isotonic
RoadFines,duration,B_intake_g,logit,without_f,raw
Sepsis,duration,B_half,hgb,with_f,isotonic
Sepsis,duration,B_half,hgb,without_f,platt
Sepsis,duration,B_half,logit,with_f,raw
Sepsis,duration,B_half,logit,without_f,platt
Sepsis,duration,B_intake,hgb,with_f,platt
Sepsis,duration,B_intake,hgb,without_f,platt
Sepsis,duration,B_intake,logit,with_f,platt
Sepsis,duration,B_intake,logit,without_f,platt
