held_out_log,metric,comparison,scored,agrees
BPIC19,logloss_skill,one-number vs weighted-mean,False,
BPIC19,nagelkerke,one-number vs weighted-mean,False,
Helpdesk,ap,one-number vs weighted-mean,True,True
Helpdesk,auc,one-number vs weighted-mean,False,
Helpdesk,brier_skill,one-number vs weighted-mean,False,
Helpdesk,logloss_skill,one-number vs weighted-mean,False,
Helpdesk,nagelkerke,one-number vs weighted-mean,False,
RoadFines,ap,one-number vs weighted-mean,False,
RoadFines,auc,one-number vs weighted-mean,False,
RoadFines,brier_skill,one-number vs weighted-mean,False,
RoadFines,logloss_skill,one-number vs weighted-mean,False,
RoadFines,nagelkerke,one-number vs weighted-mean,False,
Sepsis,ap,one-number vs weighted-mean,False,
Sepsis,auc,one-number vs weighted-mean,False,
Sepsis,brier_skill,one-number vs weighted-mean,False,
Sepsis,logloss_skill,one-number vs weighted-mean,False,
Sepsis,nagelkerke,one-number vs weighted-mean,False,
UCI498,ap,one-number vs weighted-mean,True,True
UCI498,auc,one-number vs weighted-mean,True,True
UCI498,brier_skill,one-number vs weighted-mean,True,False
UCI498,logloss_skill,one-number vs weighted-mean,True,False
UCI498,nagelkerke,one-number vs weighted-mean,True,True
BPIC13_closed,ap,majority vs weighted-mean,False,
BPIC13_closed,auc,majority vs weighted-mean,False,
BPIC13_closed,brier_skill,majority vs weighted-mean,False,
BPIC13_closed,logloss_skill,majority vs weighted-mean,False,
BPIC13_closed,nagelkerke,majority vs weighted-mean,False,
BPIC13_incidents,ap,majority vs weighted-mean,False,
BPIC13_incidents,auc,majority vs weighted-mean,False,
BPIC13_incidents,brier_skill,majority vs weighted-mean,True,False
BPIC13_incidents,logloss_skill,majority vs weighted-mean,True,True
BPIC13_incidents,nagelkerke,majority vs weighted-mean,True,True
BPIC14,ap,majority vs weighted-mean,False,
BPIC14,auc,majority vs weighted-mean,False,
BPIC14,brier_skill,majority vs weighted-mean,False,
BPIC14,logloss_skill,majority vs weighted-mean,False,
BPIC14,nagelkerke,majority vs weighted-mean,False,
BPIC15_1,ap,majority vs weighted-mean,False,
BPIC15_1,auc,majority vs weighted-mean,False,
BPIC15_1,brier_skill,majority vs weighted-mean,True,True
BPIC15_1,logloss_skill,majority vs weighted-mean,True,True
BPIC15_1,nagelkerke,majority vs weighted-mean,True,True
BPIC15_3,ap,majority vs weighted-mean,False,
BPIC15_3,auc,majority vs weighted-mean,False,
BPIC15_3,brier_skill,majority vs weighted-mean,True,True
BPIC15_3,logloss_skill,majority vs weighted-mean,True,False
BPIC15_3,nagelkerke,majority vs weighted-mean,True,False
BPIC15_4,ap,majority vs weighted-mean,False,
BPIC15_4,auc,majority vs weighted-mean,True,False
BPIC15_4,brier_skill,majority vs weighted-mean,False,
BPIC15_4,logloss_skill,majority vs weighted-mean,False,
BPIC15_4,nagelkerke,majority vs weighted-mean,True,False
BPIC15_5,ap,majority vs weighted-mean,False,
BPIC15_5,auc,majority vs weighted-mean,False,
BPIC15_5,brier_skill,majority vs weighted-mean,True,True
BPIC15_5,logloss_skill,majority vs weighted-mean,True,True
BPIC15_5,nagelkerke,majority vs weighted-mean,True,True
BPIC17,ap,majority vs weighted-mean,False,
BPIC17,auc,majority vs weighted-mean,False,
BPIC17,brier_skill,majority vs weighted-mean,True,False
BPIC17,logloss_skill,majority vs weighted-mean,True,True
BPIC17,nagelkerke,majority vs weighted-mean,True,True
BPIC19,ap,majority vs weighted-mean,False,
BPIC19,auc,majority vs weighted-mean,False,
BPIC19,brier_skill,majority vs weighted-mean,True,True
BPIC19,logloss_skill,majority vs weighted-mean,True,True
BPIC19,nagelkerke,majority vs weighted-mean,True,True
Helpdesk,ap,majority vs weighted-mean,False,
Helpdesk,auc,majority vs weighted-mean,False,
Helpdesk,brier_skill,majority vs weighted-mean,False,
Helpdesk,logloss_skill,majority vs weighted-mean,False,
Helpdesk,nagelkerke,majority vs weighted-mean,False,
RoadFines,ap,majority vs weighted-mean,False,
RoadFines,auc,majority vs weighted-mean,False,
RoadFines,brier_skill,majority vs weighted-mean,False,
RoadFines,logloss_skill,majority vs weighted-mean,False,
RoadFines,nagelkerke,majority vs weighted-mean,False,
Sepsis,ap,majority vs weighted-mean,False,
Sepsis,auc,majority vs weighted-mean,False,
Sepsis,brier_skill,majority vs weighted-mean,False,
Sepsis,logloss_skill,majority vs weighted-mean,False,
Sepsis,nagelkerke,majority vs weighted-mean,False,
UCI498,ap,majority vs weighted-mean,False,
UCI498,auc,majority vs weighted-mean,True,False
UCI498,brier_skill,majority vs weighted-mean,True,True
UCI498,logloss_skill,majority vs weighted-mean,True,False
UCI498,nagelkerke,majority vs weighted-mean,True,True
