log,target,measure,n_cells,v_reference,share_positive,misreport
BPIC13_closed,handover,equal-level,1080,-0.0090710629328516,0.2842592592592594,0.2842592592592594
BPIC13_closed,handover,reference,1080,-0.0090710629328516,0.27828125,0.27828125
BPIC13_closed,handover,concentrated,1080,-0.0090710629328516,0.1845391999999999,0.1845391999999999
BPIC13_incidents,duration,equal-level,1080,0.027784583391845,0.6074074074074076,0.3925925925925924
BPIC13_incidents,duration,reference,1080,0.027784583391845,0.75828125,0.24171874999999998
BPIC13_incidents,duration,concentrated,1080,0.027784583391845,0.945008,0.05499200000000004
BPIC13_incidents,handover,equal-level,1080,0.037250106092855,0.8888888888888893,0.11111111111111072
BPIC13_incidents,handover,reference,1080,0.037250106092855,0.9325000000000001,0.0674999999999999
BPIC13_incidents,handover,concentrated,1080,0.037250106092855,0.9700432000000001,0.029956799999999895
BPIC14,duration,equal-level,4800,0.0958803081752529,0.8935416666666667,0.10645833333333332
BPIC14,duration,reference,4800,0.0958803081752529,0.9174961419753087,0.08250385802469129
BPIC14,duration,concentrated,4800,0.0958803081752529,0.9510336790123455,0.04896632098765452
BPIC14,handover,equal-level,4800,0.1672715325675343,0.7562500000000001,0.2437499999999999
BPIC14,handover,reference,4800,0.1672715325675343,0.8361111111111112,0.16388888888888875
BPIC14,handover,concentrated,4800,0.1672715325675343,0.932896,0.06710400000000005
BPIC15_1,duration,equal-level,1080,0.0010951531649926,0.5768518518518521,0.42314814814814794
BPIC15_1,duration,reference,1080,0.0010951531649926,0.55609375,0.44390624999999995
BPIC15_1,duration,concentrated,1080,0.0010951531649926,0.7015456,0.2984544
BPIC15_1,handover,equal-level,1080,0.0070792418360356,0.7583333333333335,0.24166666666666647
BPIC15_1,handover,reference,1080,0.0070792418360356,0.85234375,0.14765625000000004
BPIC15_1,handover,concentrated,1080,0.0070792418360356,0.964288,0.035711999999999966
BPIC15_3,duration,equal-level,1080,0.0353795899977472,0.8092592592592596,0.19074074074074043
BPIC15_3,duration,reference,1080,0.0353795899977472,0.8912500000000001,0.1087499999999999
BPIC15_3,duration,concentrated,1080,0.0353795899977472,0.9869631999999999,0.01303680000000007
BPIC15_3,handover,equal-level,1080,-0.0030352480417754,0.6157407407407409,0.6157407407407409
BPIC15_3,handover,reference,1080,-0.0030352480417754,0.5357812500000001,0.5357812500000001
BPIC15_3,handover,concentrated,1080,-0.0030352480417754,0.32521919999999993,0.32521919999999993
BPIC15_4,duration,equal-level,1080,0.0347513653348663,0.376851851851852,0.623148148148148
BPIC15_4,duration,reference,1080,0.0347513653348663,0.4615625,0.5384375
BPIC15_4,duration,concentrated,1080,0.0347513653348663,0.7226384,0.2773616
BPIC15_4,handover,equal-level,1080,0.0014772332290581,0.38240740740740753,0.6175925925925925
BPIC15_4,handover,reference,1080,0.0014772332290581,0.27203125,0.72796875
BPIC15_4,handover,concentrated,1080,0.0014772332290581,0.45053920000000003,0.5494608
BPIC15_5,duration,equal-level,1080,0.0319525904203322,0.6722222222222225,0.3277777777777775
BPIC15_5,duration,reference,1080,0.0319525904203322,0.6932812500000001,0.30671874999999993
BPIC15_5,duration,concentrated,1080,0.0319525904203322,0.8660592,0.13394079999999997
BPIC17,duration,equal-level,1080,0.0020866192318349,0.6472222222222224,0.35277777777777763
BPIC17,duration,reference,1080,0.0020866192318349,0.7457812500000001,0.25421874999999994
BPIC17,duration,concentrated,1080,0.0020866192318349,0.847128,0.152872
BPIC19,duration,equal-level,1620,0.0244227786104798,0.6401234567901235,0.3598765432098765
BPIC19,duration,reference,1620,0.0244227786104798,0.6197656250000001,0.3802343749999999
BPIC19,duration,concentrated,1620,0.0244227786104798,0.7559960000000001,0.2440039999999999
Helpdesk,duration,equal-level,1080,-0.0195227603319928,0.25740740740740753,0.25740740740740753
Helpdesk,duration,reference,1080,-0.0195227603319928,0.18953124999999998,0.18953124999999998
Helpdesk,duration,concentrated,1080,-0.0195227603319928,0.0897808,0.0897808
RoadFines,duration,equal-level,1620,0.0306235441798622,0.8271604938271605,0.1728395061728395
RoadFines,duration,reference,1620,0.0306235441798622,0.9110156250000001,0.0889843749999999
RoadFines,duration,concentrated,1620,0.0306235441798622,0.9859895999999999,0.01401040000000009
Sepsis,duration,equal-level,1080,0.1527346938775511,0.9435185185185189,0.05648148148148113
Sepsis,duration,reference,1080,0.1527346938775511,0.9578125,0.042187500000000044
Sepsis,duration,concentrated,1080,0.1527346938775511,0.9872799999999999,0.012720000000000065
UCI498,duration,equal-level,1080,-0.0068683019845929,0.4925925925925928,0.4925925925925928
UCI498,duration,reference,1080,-0.0068683019845929,0.485,0.485
UCI498,duration,concentrated,1080,-0.0068683019845929,0.22808479999999992,0.22808479999999992
UCI498,handover,equal-level,1080,-0.0033327841374403,0.4814814814814817,0.4814814814814817
UCI498,handover,reference,1080,-0.0033327841374403,0.46984375,0.46984375
UCI498,handover,concentrated,1080,-0.0033327841374403,0.27599679999999993,0.27599679999999993
