family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,degenerate,248,200,q_mult,2000,0.803,248.0,0.008893565089434044,0.9937358870967742,0.937070564516129,7.570858999520441,3.679333634750925,6.064885733061639,1.6475794032060211,1.5535,1.5535,0.0,0.8109836838397335,11.941900482350785,0.0
decision-curve,degenerate,248,200,q_mult_hi,2000,0.805,248.0,0.00885931712944062,0.9937983870967741,0.937070564516129,7.605860533437317,3.6962479617185324,6.064885733061639,1.6393814393327077,1.538,1.538,0.0,0.8109836838397335,11.941900482350785,0.0
decision-curve,degenerate,248,200,q_emp,2000,0.9355,248.0,0.005492711079239468,0.9966975806451613,0.937070564516129,10.589639330988888,4.680034290054582,6.064885733061639,1.0817347243997923,0.819,0.819,0.0,0.8109836838397335,11.941900482350785,0.0
decision-curve,degenerate,248,200,q_emp_hi,2000,0.9635,248.0,0.004193313129257102,0.9996108870967741,0.937070564516129,15.80593011048348,7.702252740452748,6.064885733061639,0.8326007414322142,0.0965,0.0965,0.0,0.8109836838397335,11.941900482350785,0.0
decision-curve,degenerate,248,200,q_rad,2000,0.785,248.0,0.009186266924055712,0.9933770161290322,0.937070564516129,7.384562040396481,3.5888297898556543,6.064885733061639,1.686603569734136,1.6425,1.6425,0.0,0.8109836838397335,11.941900482350785,0.0
decision-curve,degenerate,1100,400,q_mult,2000,0.929,1100.0,0.005742778073371805,0.9958340909090909,0.9402768181818182,8.345888527551582,4.040978359526788,6.320496488279065,1.5669866475360572,4.5825,4.5825,0.0,2.2404038706726537,12.60803930953825,0.0
decision-curve,degenerate,1100,400,q_mult_hi,2000,0.93,1100.0,0.005705260730238364,0.9958731818181819,0.9402768181818182,8.378770641841125,4.056787797217686,6.320496488279065,1.5615901372924148,4.5395,4.5395,0.0,2.2404038706726537,12.60803930953825,0.0
decision-curve,degenerate,1100,400,q_emp,2000,0.948,1100.0,0.0049646752159632785,0.997955,0.9402768181818182,12.099355647817843,4.806429202440311,6.320496488279065,1.0343563009339105,2.2495,2.2495,0.0,2.2404038706726537,12.60803930953825,0.0
decision-curve,degenerate,1100,400,q_emp_hi,2000,0.962,1100.0,0.004275277768753747,0.9998454545454547,0.9402768181818182,17.668986089738908,8.613569555929447,6.320496488279065,0.8834916106866604,0.17,0.17,0.0,2.2404038706726537,12.60803930953825,0.0
decision-curve,degenerate,1100,400,q_rad,2000,0.7735,1100.0,0.009359427065798419,0.9954977272727273,0.9402768181818182,8.208038739950066,3.974036216902846,6.320496488279065,1.590381179366519,4.9525,4.9525,0.0,2.2404038706726537,12.60803930953825,0.0
decision-curve,gaussian,248,200,q_mult,2000,0.932,248.0,0.005629209535982825,0.9997076612903226,0.940820564516129,7.350645811478038,3.6800807937868214,3.791519093475742,1.0310896467398591,0.0725,0.0725,0.0,-0.07217184831056389,0.39649155392952307,0.0
decision-curve,gaussian,248,200,q_mult_hi,2000,0.9335,248.0,0.005571254347092763,0.9997137096774193,0.940820564516129,7.384657891332946,3.6971481181297166,3.791519093475742,1.0263480690151434,0.071,0.071,0.0,-0.07217184831056389,0.39649155392952307,0.0
decision-curve,gaussian,248,200,q_emp,2000,0.918,248.0,0.006134981662564281,0.9996411290322581,0.940820564516129,7.246828140672808,3.6234410775911225,3.791519093475742,1.0460791487024064,0.089,0.089,0.0,-0.07217184831056389,0.39649155392952307,0.0
decision-curve,gaussian,248,200,q_emp_hi,2000,0.9585,248.0,0.004459694496263168,0.999820564516129,0.940820564516129,7.782767470119093,3.8879787730675925,3.791519093475742,0.978992921514379,0.0445,0.0445,0.0,-0.07217184831056389,0.39649155392952307,0.0
decision-curve,gaussian,248,200,q_rad,2000,0.921,248.0,0.006031542091372652,0.9996572580645161,0.940820564516129,7.266671476371072,3.6381822266536163,3.791519093475742,1.0433940025541482,0.085,0.085,0.0,-0.07217184831056389,0.39649155392952307,0.0
decision-curve,gaussian,1100,400,q_mult,2000,0.932,1100.0,0.005629209535982825,0.9999309090909092,0.9453168181818182,8.07296803315811,4.039120854604288,4.1195757831597115,1.0186993401510174,0.076,0.076,0.0,-0.03869110541852472,0.2957815783600607,0.0
decision-curve,gaussian,1100,400,q_mult_hi,2000,0.9365,1100.0,0.005452877680637995,0.9999372727272727,0.9453168181818182,8.10493051999465,4.055065869433555,4.1195757831597115,1.015069326255825,0.069,0.069,0.0,-0.03869110541852472,0.2957815783600607,0.0
decision-curve,gaussian,1100,400,q_emp,2000,0.92,1100.0,0.006066300355241239,0.9999168181818182,0.9453168181818182,8.007034806686722,4.004937864900946,4.1195757831597115,1.0321445356918328,0.0915,0.0915,0.0,-0.03869110541852472,0.2957815783600607,0.0
decision-curve,gaussian,1100,400,q_emp_hi,2000,0.9535,1100.0,0.004708383480558906,0.9999531818181818,0.9453168181818182,8.284653940926892,4.141766653648665,4.1195757831597115,0.996487450941875,0.0515,0.0515,0.0,-0.03869110541852472,0.2957815783600607,0.0
decision-curve,gaussian,1100,400,q_rad,2000,0.9255,1100.0,0.005871530890662162,0.9999236363636365,0.9453168181818182,8.017615096314517,4.01161371051451,4.1195757831597115,1.027802375556772,0.084,0.084,0.0,-0.03869110541852472,0.2957815783600607,0.0
decision-curve,heavy,248,200,q_mult,2000,0.912,248.0,0.0063346665263453285,0.9935524193548386,0.9395947580645162,7.314247441662832,3.676950444584131,6.678302026623244,1.8151030981639718,1.599,1.599,0.0,0.7498401931704588,11.411501095280968,0.0
decision-curve,heavy,248,200,q_mult_hi,2000,0.914,248.0,0.006269130721240385,0.9936411290322581,0.9395947580645162,7.348236945687899,3.6940502755190163,6.678302026623244,1.8057319046352023,1.577,1.577,0.0,0.7498401931704588,11.411501095280968,0.0
