log,target,metric,draw,interaction_total
BPIC13_closed,handover,auc,27,0.5038160955924009
BPIC13_closed,handover,auc,28,0.40085153937170215
BPIC13_closed,handover,auc,29,0.7290752536162687
BPIC13_closed,handover,auc,30,0.7146762304372816
BPIC13_closed,handover,auc,31,0.5403915242751691
BPIC13_closed,handover,auc,32,0.4654983816966567
BPIC13_closed,handover,auc,33,0.772552941807334
BPIC13_closed,handover,auc,34,0.42067469703276095
BPIC13_closed,handover,auc,35,0.7042526600067354
BPIC13_closed,handover,auc,36,0.48520730423493186
BPIC13_closed,handover,auc,37,0.5725088388881983
BPIC13_closed,handover,auc,38,0.837064348322288
BPIC13_closed,handover,auc,39,0.5524304862225007
BPIC13_closed,handover,auc,40,0.3471866924475099
BPIC13_closed,handover,auc,41,0.5527866953905758
BPIC13_closed,handover,auc,42,0.3174933438203267
BPIC13_closed,handover,auc,43,0.7348078469468453
BPIC13_closed,handover,auc,44,0.6139308581152857
BPIC13_closed,handover,auc,45,0.37270194951818114
BPIC13_closed,handover,auc,46,0.28225786765513683
BPIC13_closed,handover,auc,47,0.42777867496875654
BPIC13_closed,handover,auc,48,0.7529087207616424
BPIC13_closed,handover,auc,49,0.6624000345357527
BPIC13_closed,handover,auc,50,0.8460495255563463
BPIC13_closed,handover,auc,51,0.2819101239414563
BPIC13_closed,handover,auc,52,0.7695462729631526
BPIC13_closed,handover,auc,53,0.5710646657471077
BPIC13_closed,handover,auc,54,0.3964477193238476
BPIC13_closed,handover,auc,55,0.5373441905184163
BPIC13_closed,handover,auc,56,0.3058910536308098
BPIC13_closed,handover,auc,57,0.7438088361181288
BPIC13_closed,handover,auc,58,0.458608371799348
BPIC13_closed,handover,auc,59,0.7754972001924583
BPIC13_closed,handover,auc,60,0.5583653948528642
BPIC13_closed,handover,auc,61,0.5168096234925813
BPIC13_closed,handover,auc,62,0.5312912553679624
BPIC13_closed,handover,auc,63,0.7399204813773538
BPIC13_closed,handover,auc,64,0.7583915187674932
BPIC13_closed,handover,auc,65,0.8855724615267848
BPIC13_closed,handover,auc,66,0.6608467007751485
BPIC13_closed,handover,auc,67,0.4992021533846085
BPIC13_closed,handover,auc,68,0.5831676161849861
BPIC13_closed,handover,auc,69,0.5906556047261786
BPIC13_closed,handover,auc,70,0.5987047631199087
BPIC13_closed,handover,auc,71,0.5899768233265061
BPIC13_closed,handover,auc,72,0.8740744440635175
BPIC13_closed,handover,auc,73,0.6202086580594304
BPIC13_closed,handover,auc,74,0.6070075462304573
