threshold,fpr_intake,tpr_intake,acted_intake,fpr_intake + item,tpr_intake + item,acted_intake + item,fpr_intake + group,tpr_intake + group,acted_intake + group,fpr_intake + group + item,tpr_intake + group + item,acted_intake + group + item
0.05,1.0,1.0,1.0,0.9998832321345166,0.9996057559629411,0.9997800102661876,1.0,1.0,1.0,0.9968472676319476,0.9996057559629411,0.9978734325731465
0.075,1.0,1.0,1.0,0.9706912657636618,0.997043169722058,0.9804942436019652,1.0,1.0,1.0,0.9771134983652499,0.9976345357776464,0.9847473784556721
0.1,1.0,1.0,1.0,0.9457029425502101,0.9936920954070569,0.9635550340984087,0.984119570294255,0.9992115119258821,0.989733812422087,0.9461700140121438,0.9942834614626453,0.9640683434773044
0.125,1.0,1.0,1.0,0.9318075665576834,0.9911295091661738,0.9538754858106622,0.984119570294255,0.9992115119258821,0.989733812422087,0.9138253152732368,0.9893554109994086,0.9419227102735206
0.15,1.0,1.0,1.0,0.8527557216254087,0.9690518430908732,0.8960181858179952,0.984119570294255,0.9992115119258821,0.989733812422087,0.8518215787015413,0.9714173073132268,0.8963115054630784
0.175,1.0,1.0,1.0,0.7267631947687996,0.9351468559038044,0.8042824668182151,0.984119570294255,0.9992115119258821,0.989733812422087,0.7257122839794489,0.9381036861817466,0.80472244628584
0.2,1.0,1.0,1.0,0.7107659971975713,0.9298245614035088,0.7922563613698027,0.9674217655301262,0.9962546816479401,0.9781476864412995,0.7065623540401681,0.9323871476443919,0.7905697734105742
0.225,1.0,1.0,1.0,0.6804063521718823,0.9241080228661541,0.7710640170125395,0.9660205511443251,0.9952690715552928,0.9769010779496957,0.6788883699205979,0.9252907549773309,0.7705507076336437
0.25,1.0,1.0,1.0,0.657169546940682,0.9140547999211512,0.7527315391948376,0.9656702475478748,0.9948748275182338,0.9765344283933416,0.6519149929939281,0.9099152375320323,0.7478917650509643
0.275,1.0,1.0,1.0,0.6026389537599253,0.8894145476049675,0.7093202317225196,0.9645025688930406,0.993297851369998,0.9752144899904671,0.5973843998131714,0.8856692292529076,0.704627117401188
0.3,1.0,1.0,1.0,0.5436711816907986,0.8576779026217228,0.6604825108161619,0.9597150864082205,0.9838359944805835,0.9686881278873652,0.5402849135917795,0.8549181943623103,0.6573293246315172
0.325,1.0,0.9998028779814705,0.9999266700887292,0.4626342830453059,0.8125369603784742,0.5927990027132067,0.9444184960298926,0.9733885274985216,0.9551954242135366,0.4583138720224194,0.8119455943228858,0.5898658062623744
0.35,0.9967304997664642,0.997043169722058,0.9968468138153553,0.43274170948155066,0.7859254878769959,0.564127007406321,0.33080336291452594,0.5357776463630988,0.4070543374642517,0.4021485287248949,0.7709442144687562,0.5393414973967882
0.375,0.841429238673517,0.8610289769367239,0.8487203930483244,0.3707379729098552,0.7405874236152178,0.5083229449292367,0.22758056982718355,0.47151586832249165,0.31832514482657476,0.3699205978514713,0.7409816676522768,0.5079562953728826
0.4,0.3072162540868753,0.4157303370786517,0.3475837794236269,0.33594114899579636,0.7092450226690321,0.4748111754784777,0.2093647828117702,0.4630396215257244,0.3037324924836841,0.3297524521251752,0.7078651685393258,0.4704113808022292
0.425,0.2928538066324148,0.410408042578356,0.3365842927330058,0.30628211116300796,0.6534594914251922,0.4354330131260541,0.04472209248014946,0.3041592745909718,0.14123340910757498,0.2925035030359645,0.6384782180169525,0.42120701033951746
0.45,0.11256422232601589,0.20855509560417898,0.14827308058957248,0.27043437645959834,0.6031933767001774,0.3942216029918604,0.04075198505371322,0.2988369800906761,0.13676028452005573,0.2592246613731901,0.5984624482554701,0.3854220136393635
0.475,0.1102288650163475,0.2063867534003548,0.14599985334017745,0.24427837459131246,0.57618766016164,0.36774950502309894,0.04075198505371322,0.29863985807214666,0.1366869546087849,0.2383232134516581,0.5726394638281096,0.3626897411454132
0.5,0.004437178888369921,0.0017740981667652277,0.003446505829727946,0.15471742176553013,0.4815690912674946,0.27630710566840216,0.0406352171882298,0.29863985807214666,0.13661362469751412,0.1495796356842597,0.4391878572836586,0.25731465864926306
0.525,0.004437178888369921,0.0017740981667652277,0.003446505829727946,0.12762727697337692,0.4366252710427755,0.24257534648383075,0.03829985987856142,0.2970628819239109,0.1345603871819315,0.11898645492760393,0.3908929627439385,0.2201363936349637
0.55,0.004437178888369921,0.0017740981667652277,0.003446505829727946,0.10427370387669313,0.34417504435245416,0.19351763584366063,0.026623073330219522,0.20500689927064852,0.09298232749138373,0.10182157870154133,0.3660555884092253,0.2001173278580333
0.575,0.0012844465203176085,0.0003942440370589395,0.0009532888465204957,0.09539934609995329,0.31421249753597474,0.17679841607391655,0.022185894441849603,0.19002562586240884,0.0846227176065117,0.08967772069126577,0.31046717918391487,0.17181198210750165
0.6,0.0012844465203176085,0.0003942440370589395,0.0009532888465204957,0.06503970107426436,0.26887443327419674,0.14086675955122094,0.021835590845399346,0.188842893751232,0.08396274840507444,0.061069593647828116,0.29292331953479206,0.147319791743052
0.625,0.0,0.0,0.0,0.04460532461466604,0.22629607727183126,0.11219476424433526,0.02136851938346567,0.188842893751232,0.0836694287599912,0.03946753853339561,0.250936329588015,0.11813448705727066
0.65,0.0,0.0,0.0,0.03853339560952826,0.22176227084565345,0.10669502089902472,0.02136851938346567,0.188842893751232,0.0836694287599912,0.03538066324147594,0.24462842499507195,0.11322138300212657
0.675,0.0,0.0,0.0,0.022652965903783278,0.19377094421446875,0.08630930556574026,0.019967304997664644,0.18805440567711412,0.08249615017965828,0.021602055114432507,0.22393061304947762,0.09686881278873652
0.7,0.0,0.0,0.0,0.02008407286314806,0.17642420658387542,0.07824301532595146,0.019850537132181222,0.1876601616400552,0.08227616044584586,0.018682858477347034,0.2032328011038833,0.08733592432353157
0.725,0.0,0.0,0.0,0.01693134049509575,0.16577961758328405,0.07230329251301607,0.01914992993928071,0.1862803075103489,0.08132287159932536,0.016230733302195235,0.19574216439976344,0.08300945955855393
0.75,0.0,0.0,0.0,0.015646893974778142,0.15986595702739997,0.06929676615091296,0.01879962634283045,0.18273211117681845,0.07978294346263841,0.012143858010275572,0.1894342598068204,0.07809635550340985
0.775,0.0,0.0,0.0,0.011092947220924802,0.15592351665681056,0.06497030138593532,0.01879962634283045,0.18273211117681845,0.07978294346263841,0.010976179355441382,0.18608318549181943,0.07611644789909804
0.8,0.0,0.0,0.0,0.009808500700607193,0.1492213680268086,0.06167045537874899,0.01879962634283045,0.18214074512123005,0.07956295372882599,0.008640822045773003,0.1699191799724029,0.06863679694947569
