rung,learner,threshold,dnb,se,n_family,n_draws,pt_lo,pt_hi,sim_lo,sim_hi,centre,q_nominal,factor,q_widened,wid_lo,wid_hi,factor_all_cells,all_lo,all_hi,q_emp_adm,emp_lo,emp_hi,q_emp_all,empall_lo,empall_hi,emp_beneficial,emp_harmful,is_reference,wid_beneficial,wid_harmful,construction
B_half,hgb,0.05,0.0,1.776054741750432e-05,248,200,-3.0113905848838662e-05,0.0,-6.347994364104059e-05,6.347994364104059e-05,0.0,3.574210982848223,1.9615376478376223,7.0109494041715,-0.00012451829933451158,0.00012451829933451158,1.6475794032060211,-0.00010458824765965752,0.00010458824765965752,6.643915380040814,-0.00011799957414510111,0.00011799957414510111,6.995884198633907,-0.0001242507330372067,0.0001242507330372067,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.075,0.0,6.150549328124864e-05,248,200,-5.2335628433528055e-05,0.000191655680856,-0.0002198336095913,0.0002198336095913,0.0,3.574210982848223,1.9615376478376223,7.0109494041715,-0.00043121190147344437,0.00043121190147344437,1.6475794032060211,-0.00036219332729511963,0.00036219332729511963,6.643915380040814,-0.00040863729276828476,0.00040863729276828476,6.995884198633907,-0.0004302853085754713,0.0004302853085754713,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.1,0.0,8.954657495796997e-05,248,200,-9.55593699836482e-05,0.0002628379344871,-0.0003200583516912,0.0003200583516912,0.0,3.574210982848223,1.9615376478376223,7.0109494041715,-0.0006278065063471781,0.0006278065063471781,1.6475794032060211,-0.0005273215480705197,0.0005273215480705197,6.643915380040814,-0.0005949398665932343,0.0005949398665932343,6.995884198633907,-0.0006264574687902489,0.0006264574687902489,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.125,0.0,0.0001950381978089,248,200,-0.0003685861413653,0.0003392116394548,-0.0006971076686838,0.0006971076686838,0.0,3.574210982848223,1.9615376478376223,7.0109494041715,-0.0013674029367189908,0.0013674029367189908,1.6475794032060211,-0.0011485402367398929,0.0011485402367398929,6.643915380040814,-0.0012958172821179934,0.0012958172821179934,6.995884198633907,-0.0013644646461813178,0.0013644646461813178,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.15,0.0,0.0006373808152937,248,200,-0.0013759287150705,0.0009361826550101,-0.0023286185877323,0.0022276484328272,-5.0485077452550086e-05,3.574210982848223,1.9615376478376223,7.0109494041715,-0.00451912972466626,0.004418159569761161,1.6475794032060211,-0.003803890926742482,0.0037029207718373815,6.643915380040814,-0.004285189279125316,0.004184219124220216,6.995884198633907,-0.004509527451678142,0.004408557296773042,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.175,0.001436912393857,0.0008772586142068,248,200,0.0010270781047493,0.004196521068213,-0.0011123433923004,0.0051586713550924,0.0020231639813959998,3.574210982848223,1.9615376478376223,7.0109494041715,-0.004127251777181481,0.00817357973997348,1.6475794032060211,-0.0031428333861063936,0.007189161348898393,6.643915380040814,-0.0038052680178058493,0.007851595980597849,6.995884198633907,-0.004114035695848831,0.00816036365864083,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.2,0.0016986125017879,0.0008053512061723,248,200,0.0012507152052637,0.0041504255471317,-0.0001607151232906,0.0055962751290118,0.0027177800028606,3.574210982848223,1.9615376478376223,7.0109494041715,-0.002928496556201885,0.008364056561923086,1.6475794032060211,-0.0020247692792148674,0.007460329284936068,6.643915380040814,-0.0026329052621619636,0.008068465267883164,6.995884198633907,-0.002916363774750951,0.008351923780472151,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.225,0.0020533312415501,0.0007127045883598,248,200,0.0018469022383615,0.0044900471112625,0.0004957264750102,0.0055904396094946,0.0030430830422523997,3.574210982848223,1.9615376478376223,7.0109494041715,-0.001953652766859034,0.008039818851363834,1.6475794032060211,-0.00115388917055698,0.0072400552550617794,6.643915380040814,-0.001692065933776933,0.007778232018281732,6.995884198633907,-0.0019429157257478081,0.008029081810252608,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.25,0.0024316978972964,0.0007225543565195,248,200,0.0018815858484716,0.0045570495398844,0.0006001017076253,0.0057652251411796,0.00318266342440245,3.574210982848223,1.9615376478376223,7.0109494041715,-0.0018831286109194608,0.008248455459724361,1.6475794032060211,-0.0010723120676674335,0.007437638916472334,6.643915380040814,-0.0016179265777929498,0.00798325342659785,6.995884198633907,-0.0018722431810264113,0.00823757002983131,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
B_half,hgb,0.275,0.0028361588051633,0.0008146004901716,248,200,0.0019383295764504,0.0049326350628148,0.0003931875456722,0.0062162955828823,0.00330474156427725,3.574210982848223,1.9615376478376223,7.0109494041715,-0.002406381256929141,0.00901586438548364,1.6475794032060211,-0.0014922748680978688,0.00810175799665237,6.643915380040814,-0.0021073951609626293,0.00871687828951713,6.995884198633907,-0.0023941091331136817,0.009003592261668181,False,False,False,False,False,"basic, max-t, widened by the measured shortfall"
