baseline,n_cols,base_auc,with_ident,gain,lo,hi
intake,4,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.17228442361090682,0.19492231019987902
intake + congestion,8,0.5618250515845581,0.7437182317980005,0.18189318021344236,0.17095142844994016,0.19361148201021677
intake + group,5,0.6442537504512584,0.747589110707169,0.10333536025591061,0.09399907132148715,0.11347648546336091
intake + group + congestion,9,0.64815562244753,0.7476881665930566,0.09953254414552659,0.09009435380450637,0.10955350102035998
