log,target,metric,n_cells,var,higher,first_learner,first_split,first_quality_level,first_rung
BPIC13_closed,handover,ap,36,0.0003304156617109478,0.3666434870979346,0.061655883663552236,0.25146170549137997,0.04163930542607398,0.27859961832105923
BPIC13_closed,handover,auc,36,0.00024445826210715095,0.27237105827382724,0.3444354522559129,0.1872918720846093,0.06527632563204568,0.13062529175360496
BPIC13_closed,handover,brier_skill,36,0.0012452431566578632,0.5919039496014571,0.01432975736286571,0.19658495636836576,0.08828166842573806,0.10889966824157335
BPIC13_closed,handover,logloss_skill,36,0.001230215001976268,0.5765515370874296,0.07724877762973804,0.14706676337384755,0.08877074864426075,0.11036217326472407
BPIC13_closed,handover,nagelkerke,36,0.009489305935056426,0.683461679255597,0.070576845320785,0.06281379755534204,0.02983196842270356,0.1533157094455725
BPIC13_incidents,duration,ap,36,0.00026871695292595966,0.1371299734177125,0.0007316954334181055,0.07442250484682567,0.12183517268364921,0.6658806536183945
BPIC13_incidents,duration,auc,36,0.0005348061095707753,0.08758004363257788,0.013201508765735361,0.0722722117036508,0.09819649671976086,0.7287497391782751
BPIC13_incidents,duration,brier_skill,36,0.0004016126025162,0.36288723376021215,0.08190331587057223,0.3277654855648907,0.05643535675908119,0.17100860804524368
BPIC13_incidents,duration,logloss_skill,36,0.00029053801124406104,0.5452071583130869,0.059710608166430874,0.21926235839158953,0.07550005971655625,0.10031981541233642
BPIC13_incidents,duration,nagelkerke,36,0.0009560199958692944,0.5885352715277763,0.04772293335474198,0.18824307772654708,0.07925226012067216,0.09624645727026246
BPIC13_incidents,handover,ap,36,0.0007549936171205616,0.031685000099252014,0.0039686964181001,0.0012156145850227946,0.09187041885007073,0.8712602700475544
BPIC13_incidents,handover,auc,36,0.0007425630662325203,0.03756684856177028,0.014987347372848282,0.0033024031314770187,0.2574830599055906,0.6866603410283137
BPIC13_incidents,handover,brier_skill,36,0.0017440700700431947,0.05638344138201645,0.010935472218930412,0.0025269858570548726,0.48744026448653194,0.44271383605546627
BPIC13_incidents,handover,logloss_skill,36,0.0012673458811491005,0.08660167209917335,3.0889328973857206e-06,0.00020959055649421494,0.5047280336044708,0.40845761480696424
BPIC13_incidents,handover,nagelkerke,36,0.0025893944662678846,0.08621814098711389,0.000944375514241811,2.7993186886345403e-05,0.38867240002982223,0.5241370902819358
BPIC14,duration,ap,36,0.0009451135751540719,0.0244746047183233,0.019781947008327812,0.03879341279691466,0.7186506149723687,0.19829942050406552
BPIC14,duration,auc,36,0.00034246004122615877,0.0332286142676973,0.05083925681109405,0.04165434905641559,0.46391522914793665,0.41036255071685646
BPIC14,duration,brier_skill,36,0.0004966446968758142,0.04724852977278304,0.031045110526899195,0.06952813048249445,0.5901364008314566,0.26204182838636675
BPIC14,duration,logloss_skill,36,0.0003086373956981818,0.04130321997579811,0.025793838949218984,0.06901918764789577,0.6381714252617379,0.22571232816534922
BPIC14,duration,nagelkerke,36,0.0007784105582564961,0.03757591192565912,0.029564903815558572,0.06029819863515405,0.5899732221139953,0.28258776350963294
BPIC14,handover,ap,36,3.221115356194336e-05,0.05536676863954104,0.00010293027057566142,3.303626955590484e-05,0.24478539875436672,0.6997118660659607
BPIC14,handover,auc,36,0.002578229377777449,0.059544795765539726,0.0015824973560636254,0.02281435838288168,0.38946535074349176,0.5265929977520232
BPIC14,handover,brier_skill,36,0.0016237820939754189,0.1565086209873906,0.06328463730444407,0.013181750315465427,0.7558518189594683,0.011173172433231588
BPIC14,handover,logloss_skill,36,0.002642543491215958,0.0765624053503432,2.0778145139059296e-05,0.000779422008970508,0.7123331834968138,0.21030421099873334
BPIC14,handover,nagelkerke,36,0.0032965098267816466,0.0759485763929072,1.2518763424186106e-06,0.002107751872851998,0.6599652282393839,0.2619771916185145
BPIC15_1,duration,ap,36,0.0010799586225449806,0.4262977267006298,0.03291951733671553,0.24365037294017808,0.23933351263097474,0.05779887039150182
BPIC15_1,duration,auc,36,0.0008598962486285784,0.5194067313830063,0.03233373141886232,0.0017507384974438849,0.002424979463275079,0.4440838192374124
BPIC15_1,duration,brier_skill,36,0.0014235560928596528,0.4322615449443796,0.035126125126740834,3.69667589555529e-06,0.21017146795566308,0.32243716529732086
BPIC15_1,duration,logloss_skill,36,0.0016309468487636087,0.3962802909085028,0.21784040682914313,0.034114399691406457,0.1533891456789358,0.19837575689201178
BPIC15_1,duration,nagelkerke,36,0.00790980659980463,0.3365903586679111,0.3711079401436769,0.0451617246936348,0.08746883078859789,0.1596711457061793
BPIC15_1,handover,ap,36,4.053889582962385e-05,0.167008434448783,0.0005019050367107978,0.0025283220657697615,0.030125278036086663,0.7998360604126498
BPIC15_1,handover,auc,36,0.0003931587434982335,0.26670307691338435,7.548367223084542e-06,0.025823031049703248,0.05125749173453477,0.6562088519351545
BPIC15_1,handover,brier_skill,36,0.0035017904752164025,0.4181981398392469,0.26457370798263474,0.008143203222753553,0.16633473033592308,0.14275021861944165
BPIC15_1,handover,logloss_skill,36,0.017230830944977488,0.6721302509720739,0.26859637712593587,0.00119262088236687,0.05175098291803662,0.006329768101586695
BPIC15_1,handover,nagelkerke,36,0.32820520321390867,0.9582917568418484,0.007826832469331869,0.00806256323660024,0.0021041985286947952,0.02371464892352464
BPIC15_3,duration,ap,36,0.0023619693489342866,0.445093883821051,0.36025132287632317,0.0350707761620624,0.0037110868088614207,0.155872930331702
BPIC15_3,duration,auc,36,0.002426965708691292,0.4285328279306091,0.4468111288795684,0.048203532031494134,0.009872050627553277,0.06658046053077506
BPIC15_3,duration,brier_skill,36,0.011044494094770504,0.6674932239202143,0.23179002188476464,0.09674522984581944,0.003544525134504274,0.00042699921469736753
BPIC15_3,duration,logloss_skill,36,0.007823791780698815,0.8528136898489804,0.08450824394405065,0.056908776710530885,0.0028277165530572685,0.0029415729433808235
BPIC15_3,duration,nagelkerke,36,0.12462788495662763,0.5473068921439103,0.37252818972868884,0.06342789178151133,0.004327825817210004,0.012409200528679575
BPIC15_3,handover,ap,36,1.2258817690974416e-05,0.5103164789552681,0.020587895790692614,1.287673225433308e-05,0.010512462582435331,0.45857028593934956
BPIC15_3,handover,auc,36,0.0009624173188278266,0.6670529299564756,0.07837003760538477,0.008172572885274752,0.01805392383149411,0.2283505357213708
BPIC15_3,handover,brier_skill,36,0.013583972199473555,0.6244737383104317,0.10341582381379873,0.0009579834836155574,0.003539897452040623,0.26761255694011343
BPIC15_3,handover,logloss_skill,36,0.03450712016760776,0.775175251260657,0.0007083787562322025,0.009074507151779855,0.005178842332589393,0.20986302049874153
BPIC15_3,handover,nagelkerke,36,0.13968325929928313,0.8081765479721372,5.900301256090396e-05,0.0019361803597231116,0.0014934596289824268,0.18833480902659636
BPIC15_4,duration,ap,36,0.0005804946150758325,0.4433590969651452,0.03897420154937076,0.49869907044600165,0.0009507706890359558,0.018016860350446473
BPIC15_4,duration,auc,36,0.0008879486067016087,0.41829280137203895,0.5343227561802816,0.017637387638184353,0.012175285872901368,0.017571768936593703
BPIC15_4,duration,brier_skill,36,0.010648029256548898,0.7308808275720023,0.24899664785926803,0.0066268156669531605,0.008957593858944202,0.004538115042832237
BPIC15_4,duration,logloss_skill,36,0.01132286533411533,0.7677744677682818,0.1926182550265998,0.006186900714227656,0.027558077959944416,0.0058622985309462255
BPIC15_4,duration,nagelkerke,36,0.16381135731958965,0.6374040528355508,0.31887548948577027,0.002708581333879938,0.035849100817648284,0.00516277552715072
BPIC15_4,handover,ap,36,6.107106609183334e-05,0.21812614891309134,0.001073432008936742,0.5121486521653186,0.21894510251054528,0.04970666440210809
BPIC15_4,handover,auc,36,0.00048566156802653024,0.1643032309652922,0.06970863427982925,0.3125085893195047,0.3048376055958052,0.1486419398395687
BPIC15_4,handover,brier_skill,36,0.0003959989259221171,0.7318351500014644,0.012958270285411782,0.04796085570654847,0.08567434308351043,0.12157138092306494
BPIC15_4,handover,logloss_skill,36,0.00525079416961832,0.5762395189861269,0.2439250083404698,0.11180741414082555,0.03839244685274915,0.02963561167982863
BPIC15_4,handover,nagelkerke,36,0.6579815176589131,0.9405569735345148,0.0017360462070854542,0.02302656306477289,0.007445216233803603,0.02723520095982322
BPIC15_5,duration,ap,36,0.0016746102517477537,0.6827191488494323,0.003939249389775991,0.01674740501105855,0.027149468615261463,0.2694447281344717
BPIC15_5,duration,auc,36,0.0009519693590785272,0.8416781683028441,0.002927361435458699,0.02488719878255649,0.003727198892548763,0.1267800725865919
BPIC15_5,duration,brier_skill,36,0.004634394183528585,0.3554065703341408,0.04366772154443978,0.07018898181171798,0.21682441097795843,0.31391231533174296
BPIC15_5,duration,logloss_skill,36,0.004833171960399642,0.2381758430253651,0.37431066371854493,0.01918281088469815,0.15127142443624264,0.21705925793514916
BPIC15_5,duration,nagelkerke,36,0.05139278768658683,0.24742182349297792,0.5502568617821528,0.004807341314891257,0.07007215839245037,0.12744181501752763
