k,top_k,random_k,random_k_sd,partition_k,partition_k_sd,base,full
8,0.6699557044618498,0.565559433566758,0.00020202494155409693,0.6374507484554327,0.018385180312697837,0.565556138314809,0.7385671824414273
16,0.6870951719526359,0.5655548320296739,0.0007132541942424381,0.6715053721796714,0.013134329106685367,0.565556138314809,0.7385671824414273
32,0.7110239306185357,0.5665073283252505,0.0005811522587952211,0.6794415423179494,0.02883587222481587,0.565556138314809,0.7385671824414273
64,0.7289811172873379,0.5708266268610733,0.008080104654717002,0.702652472139148,0.01569574054226835,0.565556138314809,0.7385671824414273
128,0.7391002430521822,0.5698042300882322,0.003364612225100178,0.7251520564035104,0.004901692446553695,0.565556138314809,0.7385671824414273
256,0.7393243136204622,0.5859737316343312,0.017801759517721182,0.7239878303238448,0.018606321671752614,0.565556138314809,0.7385671824414273
512,0.7382407424425824,0.6101835888575847,0.025994974681642774,0.7347608426042381,0.0019410602690423174,0.565556138314809,0.7385671824414273
1024,0.735868062575653,0.6487941106451955,0.04387793137212064,0.735303408244519,0.002465829787566655,0.565556138314809,0.7385671824414273
