variant,levels,base_auc,queue_gain,item_gain,shrink_pct,lo,hi
binary: main pool vs rest,2,0.6123952852574736,0.0499974887888579,0.13323908580681854,27.373463023869327,0.12303356532617601,0.14339658945677225
top 3 + tail,4,0.6112209085050924,0.04882311203647671,0.13254931986458707,27.749443625995205,0.12231188765657695,0.14275177193707164
top 10 + tail,11,0.6279216019676479,0.06552380549903225,0.11749183545642305,35.957042331097334,0.10782594824146051,0.12768146114241166
full queue,49,0.6442537504512584,0.08185595398264278,0.10333536025591061,43.673515041607914,0.09399907132148715,0.11347648546336091
