experiment,world,K,n_train,block_mult,estimand,interval,n,coverage,coverage_se,bias,bias_se,mean_width,width_se,rmse,truth
block,linear,20,4000,0.5,V_limit,naive_pct,250,0.912,0.01791714262933685,-0.00017979711858032577,0.0009809437106676235,0.05388259931948437,0.00041636850443450157,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_limit,naive_basic,250,0.916,0.017543545821754502,-0.00017979711858032577,0.0009809437106676235,0.05388259931948437,0.00041636850443450157,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_limit,naive_bc,250,0.9,0.018973665961010272,-0.00017979711858032577,0.0009809437106676235,0.0534800859535649,0.00042533264913153417,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_limit,nested_pct,250,0.944,0.014541526742402262,-0.00017979711858032577,0.0009809437106676235,0.057611919688216835,0.0004951259030268274,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_limit,nested_basic,250,0.896,0.019306372005117894,-0.00017979711858032577,0.0009809437106676235,0.057611919688216835,0.0004951259030268274,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_limit,nested_bc,250,0.932,0.01592180894245374,-0.00017979711858032577,0.0009809437106676235,0.05600610417326459,0.000519054208995124,0.015480074848492916,0.1918964532272969
block,linear,20,4000,0.5,V_oracle,naive_pct,250,0.912,0.01791714262933685,-0.000250687248613217,0.0009809437106676235,0.05388259931948437,0.00041636850443450157,0.015481060506558019,0.1919673433573298
block,linear,20,4000,0.5,V_oracle,naive_basic,250,0.916,0.017543545821754502,-0.000250687248613217,0.0009809437106676235,0.05388259931948437,0.00041636850443450157,0.015481060506558019,0.1919673433573298
block,linear,20,4000,0.5,V_oracle,naive_bc,250,0.9,0.018973665961010272,-0.000250687248613217,0.0009809437106676235,0.0534800859535649,0.00042533264913153417,0.015481060506558019,0.1919673433573298
block,linear,20,4000,0.5,V_oracle,nested_pct,250,0.944,0.014541526742402262,-0.000250687248613217,0.0009809437106676235,0.057611919688216835,0.0004951259030268274,0.015481060506558019,0.1919673433573298
block,linear,20,4000,0.5,V_oracle,nested_basic,250,0.896,0.019306372005117894,-0.000250687248613217,0.0009809437106676235,0.057611919688216835,0.0004951259030268274,0.015481060506558019,0.1919673433573298
block,linear,20,4000,0.5,V_oracle,nested_bc,250,0.932,0.01592180894245374,-0.000250687248613217,0.0009809437106676235,0.05600610417326459,0.000519054208995124,0.015481060506558019,0.1919673433573298
block,linear,20,4000,1.0,V_limit,naive_pct,250,0.908,0.018279606122671238,-0.002972598287573464,0.0009663170886917154,0.0544661772779928,0.0004489601261659239,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_limit,naive_basic,250,0.888,0.0199455258140767,-0.002972598287573464,0.0009663170886917154,0.0544661772779928,0.0004489601261659239,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_limit,naive_bc,250,0.9,0.018973665961010272,-0.002972598287573464,0.0009663170886917154,0.053768287495879745,0.0004637827453508727,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_limit,nested_pct,250,0.908,0.018279606122671238,-0.002972598287573464,0.0009663170886917154,0.05710219060820472,0.0005015125912582537,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_limit,nested_basic,250,0.92,0.01715808847162177,-0.002972598287573464,0.0009663170886917154,0.05710219060820473,0.0005015125912582537,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_limit,nested_bc,250,0.9,0.018973665961010272,-0.002972598287573464,0.0009663170886917154,0.05560725253284746,0.0005048759687472575,0.01553527440497255,0.1918964532272969
block,linear,20,4000,1.0,V_oracle,naive_pct,250,0.908,0.018279606122671238,-0.0030434884176063553,0.0009663170886917154,0.0544661772779928,0.0004489601261659239,0.015548994565778669,0.1919673433573298
block,linear,20,4000,1.0,V_oracle,naive_basic,250,0.888,0.0199455258140767,-0.0030434884176063553,0.0009663170886917154,0.0544661772779928,0.0004489601261659239,0.015548994565778669,0.1919673433573298
block,linear,20,4000,1.0,V_oracle,naive_bc,250,0.9,0.018973665961010272,-0.0030434884176063553,0.0009663170886917154,0.053768287495879745,0.0004637827453508727,0.015548994565778669,0.1919673433573298
block,linear,20,4000,1.0,V_oracle,nested_pct,250,0.908,0.018279606122671238,-0.0030434884176063553,0.0009663170886917154,0.05710219060820472,0.0005015125912582537,0.015548994565778669,0.1919673433573298
block,linear,20,4000,1.0,V_oracle,nested_basic,250,0.916,0.017543545821754502,-0.0030434884176063553,0.0009663170886917154,0.05710219060820473,0.0005015125912582537,0.015548994565778669,0.1919673433573298
block,linear,20,4000,1.0,V_oracle,nested_bc,250,0.904,0.018631586083852333,-0.0030434884176063553,0.0009663170886917154,0.05560725253284746,0.0005048759687472575,0.015548994565778669,0.1919673433573298
block,linear,20,4000,2.0,V_limit,naive_pct,250,0.916,0.017543545821754502,-0.0010066006927162737,0.0009510691127224341,0.05426346093608655,0.0004445305454986774,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_limit,naive_basic,250,0.9,0.018973665961010272,-0.0010066006927162737,0.0009510691127224341,0.05426346093608655,0.0004445305454986774,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_limit,naive_bc,250,0.892,0.019630180844811388,-0.0010066006927162737,0.0009510691127224341,0.05376857845623875,0.0004456932419813993,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_limit,nested_pct,250,0.932,0.01592180894245374,-0.0010066006927162737,0.0009510691127224341,0.057921840424809516,0.0005057460109502674,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_limit,nested_basic,250,0.916,0.017543545821754502,-0.0010066006927162737,0.0009510691127224341,0.057921840424809516,0.0005057460109502676,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_limit,nested_bc,250,0.904,0.018631586083852333,-0.0010066006927162737,0.0009510691127224341,0.05642134445590222,0.0005535877718990894,0.015041337267379577,0.1918964532272969
block,linear,20,4000,2.0,V_oracle,naive_pct,250,0.916,0.017543545821754502,-0.001077490822749165,0.0009510691127224341,0.05426346093608655,0.0004445305454986774,0.015046247648819074,0.1919673433573298
block,linear,20,4000,2.0,V_oracle,naive_basic,250,0.9,0.018973665961010272,-0.001077490822749165,0.0009510691127224341,0.05426346093608655,0.0004445305454986774,0.015046247648819074,0.1919673433573298
block,linear,20,4000,2.0,V_oracle,naive_bc,250,0.892,0.019630180844811388,-0.001077490822749165,0.0009510691127224341,0.05376857845623875,0.0004456932419813993,0.015046247648819074,0.1919673433573298
block,linear,20,4000,2.0,V_oracle,nested_pct,250,0.932,0.01592180894245374,-0.001077490822749165,0.0009510691127224341,0.057921840424809516,0.0005057460109502674,0.015046247648819074,0.1919673433573298
block,linear,20,4000,2.0,V_oracle,nested_basic,250,0.916,0.017543545821754502,-0.001077490822749165,0.0009510691127224341,0.057921840424809516,0.0005057460109502676,0.015046247648819074,0.1919673433573298
block,linear,20,4000,2.0,V_oracle,nested_bc,250,0.908,0.018279606122671238,-0.001077490822749165,0.0009510691127224341,0.05642134445590222,0.0005535877718990894,0.015046247648819074,0.1919673433573298
block,sparse,200,4000,0.5,V_limit,naive_pct,250,0.636,0.030430511004582227,-0.011850642352909087,0.0005365480491879467,0.02885694774541428,0.00020913051280997992,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_limit,naive_basic,250,0.632,0.030500885233055122,-0.011850642352909087,0.0005365480491879467,0.02885694774541428,0.00020913051280997992,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_limit,naive_bc,250,0.612,0.030819214785584657,-0.011850642352909087,0.0005365480491879467,0.028562433242117293,0.00021655066459643705,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_limit,nested_pct,250,0.392,0.030876269204682096,-0.011850642352909087,0.0005365480491879467,0.03218893799854755,0.00026098106452031533,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_limit,nested_basic,250,0.856,0.022204864331943127,-0.011850642352909087,0.0005365480491879467,0.03218893799854755,0.0002609810645203152,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_limit,nested_bc,250,0.556,0.03142381262673261,-0.011850642352909087,0.0005365480491879467,0.023540980796167715,0.00040562135743640296,0.014564367224130372,0.0909080229746062
block,sparse,200,4000,0.5,V_oracle,naive_pct,250,0.608,0.030876269204682096,-0.012431537399908783,0.0005365480491879467,0.02885694774541428,0.00020913051280997992,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,0.5,V_oracle,naive_basic,250,0.608,0.030876269204682096,-0.012431537399908783,0.0005365480491879467,0.02885694774541428,0.00020913051280997992,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,0.5,V_oracle,naive_bc,250,0.588,0.03112915032569954,-0.012431537399908783,0.0005365480491879467,0.028562433242117293,0.00021655066459643705,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,0.5,V_oracle,nested_pct,250,0.348,0.030126134833396732,-0.012431537399908783,0.0005365480491879467,0.03218893799854755,0.00026098106452031533,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,0.5,V_oracle,nested_basic,250,0.84,0.023186202793903102,-0.012431537399908783,0.0005365480491879467,0.03218893799854755,0.0002609810645203152,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,0.5,V_oracle,nested_bc,250,0.544,0.03150009523795126,-0.012431537399908783,0.0005365480491879467,0.023540980796167715,0.00040562135743640296,0.015040817484036273,0.0914889180216059
block,sparse,200,4000,1.0,V_limit,naive_pct,250,0.548,0.031476721557366805,-0.013158602947404478,0.0005530494162216527,0.02934016838127679,0.00024116918966347441,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_limit,naive_basic,250,0.532,0.03155794670126686,-0.013158602947404478,0.0005530494162216527,0.02934016838127679,0.0002411691896634744,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_limit,naive_bc,250,0.52,0.0315974682530104,-0.013158602947404478,0.0005530494162216527,0.028846346056136916,0.0002529883725166201,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_limit,nested_pct,250,0.332,0.029784291161617394,-0.013158602947404478,0.0005530494162216527,0.03233440189575593,0.00026229388843386893,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_limit,nested_basic,250,0.836,0.023418283455454204,-0.013158602947404478,0.0005530494162216527,0.03233440189575593,0.000262293888433869,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_limit,nested_bc,250,0.488,0.03161366793018488,-0.013158602947404478,0.0005530494162216527,0.02396595975331349,0.00040649286933181123,0.015789518107479927,0.0909080229746062
block,sparse,200,4000,1.0,V_oracle,naive_pct,250,0.52,0.0315974682530104,-0.013739497994404175,0.0005530494162216527,0.02934016838127679,0.00024116918966347441,0.01627678886258684,0.0914889180216059
block,sparse,200,4000,1.0,V_oracle,naive_basic,250,0.52,0.0315974682530104,-0.013739497994404175,0.0005530494162216527,0.02934016838127679,0.0002411691896634744,0.01627678886258684,0.0914889180216059
block,sparse,200,4000,1.0,V_oracle,naive_bc,250,0.496,0.03162176465664116,-0.013739497994404175,0.0005530494162216527,0.028846346056136916,0.0002529883725166201,0.01627678886258684,0.0914889180216059
block,sparse,200,4000,1.0,V_oracle,nested_pct,250,0.304,0.029091854530091405,-0.013739497994404175,0.0005530494162216527,0.03233440189575593,0.00026229388843386893,0.01627678886258684,0.0914889180216059
block,sparse,200,4000,1.0,V_oracle,nested_basic,250,0.812,0.02471080735224974,-0.013739497994404175,0.0005530494162216527,0.03233440189575593,0.000262293888433869,0.01627678886258684,0.0914889180216059
