k,coverage,top_k,top_lo,top_hi,partition_k,partition_sd,recovered,base,full
8,0.3015274372996417,0.6666020219692076,0.6570901457677899,0.6752800966176414,0.6109048503709458,0.01528157172130057,0.5680008978266725,0.5623977964686157,0.7458556499672737
16,0.4246967125526432,0.6876200421073255,0.6785017079146721,0.6959191173059243,0.6334274671533122,0.015683795009234943,0.682566830749635,0.5623977964686157,0.7458556499672737
32,0.5719089823370419,0.7034229142883817,0.6942562760964148,0.7121770712396192,0.6592560057076078,0.015503502030721105,0.7687058097013959,0.5623977964686157,0.7458556499672737
64,0.7051354579169024,0.7282060018084402,0.719982871070363,0.7365970241540337,0.6837413551959238,0.014339989932497372,0.9037945346996954,0.5623977964686157,0.7458556499672737
128,0.8196932553900308,0.7347499280242233,0.7264826744700597,0.7430531194727525,0.7065534780251302,0.009752259941588227,0.9394644506557926,0.5623977964686157,0.7458556499672737
256,0.8928908165189515,0.739876412504478,0.731340493702363,0.7480086910842106,0.7185509690236697,0.007968398852023486,0.9674081139140797,0.5623977964686157,0.7458556499672737
512,0.926708152618015,0.7403097863210208,0.7319326755829985,0.7486937992202308,0.7287342865163475,0.006923878723856147,0.9697703666510333,0.5623977964686157,0.7458556499672737
1024,0.9519140109372054,0.7435895063322572,0.7353454992594809,0.7519039911802328,0.7365158485274266,0.005512839195727272,0.9876476062932181,0.5623977964686157,0.7458556499672737
