decision_time,rung,n,prevalence,card_register,base_auc,with_auc,V,se,lo,hi,n_draws,resolved
t0_first_touch_all,B_intake,145478,0.14558902376991711,4034,0.553940630185158,0.7849857934853781,0.23104516330022007,0.010991819957917046,0.22038732775230374,0.2618321404590096,300,True
t1_first_touch_escalating,B_intake,44513,0.4016354772763013,2445,0.5524076743230152,0.7537042605607376,0.2012965862377224,0.007971877429166526,0.1929644878889252,0.22244648588450291,300,True
t2_incident_creation,B_intake,45455,0.4004619953800462,2929,0.5623977964686157,0.746202408866053,0.1838046123974374,0.007956435712041922,0.17249010152187236,0.20403307430192316,300,True
t2_incident_creation,B_intake_g,45455,0.4004619953800462,2929,0.6442537504512584,0.7476990884050361,0.10344533795377764,0.009076203520085379,0.09491780136076698,0.12950812240444304,300,True
t2_incident_creation,B_intake_g_km,45455,0.4004619953800462,2929,0.804689609699324,0.8018246423330996,-0.0028649673662244357,0.00237489512552515,-0.007416671133374405,0.0018739073040756702,300,False
t2_matched,B_intake,44513,0.4016354772763013,2887,0.5588426710342806,0.7502761239363721,0.19143345290209146,0.007529491852311274,0.18321651419684112,0.21345537279591165,300,True
