org,field,cardinality,auc,base,gain
Rabobank,CI Type,13,0.6134633798169538,0.565556138314809,0.04790724150214476
Rabobank,CI Subtype,60,0.5958791080151205,0.565556138314809,0.030322969700311453
Rabobank,Service Component,259,0.7244689961866101,0.565556138314809,0.1589128578718011
Rabobank,CI Name,2633,0.7385671824414273,0.565556138314809,0.17301104412661827
VolvoIT,product,615,0.8678162665087296,0.8076837410844001,0.06013252542432945
ServiceNow-IT,category,43,0.6728928594980991,0.5588973142517301,0.11399554524636901
ServiceNow-IT,subcategory,210,0.6531879701950649,0.5588973142517301,0.09429065594333486
