k,coverage,recovered,lo,hi,sd
4,0.19362490631794377,0.25867360435346026,0.23821412116849883,0.27107711592381656,0.012805987998147216
8,0.3005112297940974,0.5584614866602452,0.526102709737655,0.5790819420537945,0.019824147490543585
16,0.42396154655940343,0.7081039774196458,0.628548165548517,0.7579747729245802,0.051371335862085823
32,0.570991307212283,0.7328337877316632,0.6670615957186133,0.757506338510131,0.038071198423383315
64,0.7041692826781304,0.876615555115613,0.8199147669593287,0.9206126504147221,0.038660315503957966
128,0.8189142312082296,0.9328771962305163,0.9066801921243439,0.9543432367971603,0.01885580513112002
256,0.8926763193172306,0.9393279729715003,0.9289579856325995,0.9528899318342174,0.010705161271674634
