window_h,observed,null_mean,null_sd,lift,z
24,0.0656353259237008,0.05949040896021971,0.0009802335881152592,1.1032925654888355,6.268829223956926
72,0.1361412693644595,0.12695468394627302,0.0012541276162953308,1.0723611381055798,7.32508023810486
168,0.23887482298416512,0.22980077672402693,0.0014503690953470178,1.0394865778501499,6.256370388233568
720,0.4186799982834828,0.41772432733982745,0.001419328265614891,1.002287802938702,0.6733262253755778
