cut,gain,r64,r128,r256
0.55,0.0912702444113217,0.8301461410241517,0.966315906057738,0.9356828867144036
0.6,0.09581392506196507,0.8199147669593287,0.9237197353250953,0.9336942426816202
0.65,0.10077207772248076,0.9206126504147221,0.9066801921243439,0.9324180917538161
0.7,0.10333536025591061,0.8998707517503646,0.9543432367971603,0.9528899318342174
0.75,0.11629246194586007,0.8605860847849436,0.9329370649909167,0.9289579856325995
0.8,0.11832262392191883,0.8820935216687064,0.9467057519150658,0.9486796129552484
