log,instrument,population,regime,b_lo,b_hi,V_lo,V_hi,R
BPIC13_incidents,nb_0.175,0.75,rare-first,empty,B0,0.011709507960059356,0.01285907152691448,-0.09817351598173363
BPIC13_incidents,nb_0.175,0.75,rare-first,empty,B0+g,0.011709507960059356,0.0141155712395236,-0.2054794520547938
BPIC13_incidents,nb_0.175,0.75,rare-first,B0_half,B0,0.01073371563005442,0.01285907152691448,-0.19800747198007196
BPIC13_incidents,nb_0.175,0.75,rare-first,B0_half,B0+g,0.01073371563005442,0.0141155712395236,-0.31506849315068286
BPIC13_incidents,nb_0.175,0.75,rare-first,B0,B0+g,0.01285907152691448,0.0141155712395236,-0.09771309771309866
BPIC13_incidents,nb_0.175,1.0,full,empty,B0_half,0.010332705083477034,0.010827284757589132,-0.04786545924967678
BPIC13_incidents,nb_0.175,1.0,full,empty,B0,0.010332705083477034,0.012471427998556354,-0.20698576972832994
BPIC13_incidents,nb_0.175,1.0,full,empty,B0+g,0.010332705083477034,0.014022002111988889,-0.3570504527813716
BPIC13_incidents,nb_0.175,1.0,full,B0_half,B0,0.010827284757589132,0.012471427998556354,-0.15185185185185035
BPIC13_incidents,nb_0.175,1.0,full,B0_half,B0+g,0.010827284757589132,0.014022002111988889,-0.29506172839506184
BPIC13_incidents,nb_0.175,1.0,full,B0,B0+g,0.012471427998556354,0.014022002111988889,-0.1243301178992513
BPIC13_incidents,nb_0.200,0.25,rare-first,empty,B0_half,0.006065284516982801,0.005513895015438912,0.0909090909090906
BPIC13_incidents,nb_0.200,0.25,rare-first,empty,B0,0.006065284516982801,0.005844728716365238,0.036363636363637375
BPIC13_incidents,nb_0.200,0.25,rare-first,empty,B0+g,0.006065284516982801,0.005513895015438905,0.09090909090909172
